# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
9000.0	8041717008.64166
9010.0	8221664182.209759
9020.0	8109044713.592215
9030.0	8211273440.45749
9040.0	8312331433.223665
9050.0	8377543703.7954035
9060.0	8344232529.54176
9070.0	8396748610.4586115
9080.0	8400168065.463026
9090.0	8026614133.46931
9100.0	8316628573.495859
9110.0	8288475123.282714
9120.0	8387676122.862311
9130.0	8438139616.578565
9140.0	8417685958.616285
9150.0	8421610262.310221
9160.0	8445936513.114069
9170.0	8395751092.28464
9180.0	8394406389.564118
9190.0	8473092273.400953
9200.0	8440391565.919026
9210.0	8303337723.212501
9220.0	8371059187.471896
9230.0	8346664626.659983
9240.0	8339139393.10331
9250.0	8269463183.528635
9260.0	8207394313.133444
9270.0	8316656430.50455
9280.0	8295465797.807783
9290.0	8169863817.697967
9300.0	8212020586.541493
9310.0	8285790791.799241
9320.0	8268168172.762589
9330.0	8293812268.991499
9340.0	8289042870.323555
9350.0	8209757243.651801
9360.0	8139463242.485665
9370.0	8242234842.409328
9380.0	8218495074.36487
9390.0	8242411139.505086
9400.0	8223621564.480232
9410.0	8196964769.030645
9420.0	8095235061.0166645
9430.0	8239840950.378027
9440.0	8158593626.06841
9450.0	8043139696.57193
9460.0	8189849635.749475
9470.0	8216338344.275831
9480.0	8236005562.914833
9490.0	8246863338.376437
9500.0	8237811066.207467
9510.0	8181748245.049479
9520.0	8216232328.763111
9530.0	8218533250.627277
9540.0	8141754824.885727
9550.0	7969209024.711554
9560.0	8166301657.553028
9570.0	8130795724.406228
9580.0	8108857392.242245
9590.0	8220298921.742883
9600.0	7994736143.93483
9610.0	8140108050.816018
9620.0	8202718340.69735
9630.0	8187255891.103778
9640.0	7751224581.812631
9650.0	7892424590.449325
9660.0	8010369354.625899
9670.0	7951300475.9443
9680.0	7777481755.430611
9690.0	7954462354.034457
9700.0	8127210676.586085
9710.0	7819720484.81919
9720.0	7925780469.472515
9730.0	7806004617.208553
9740.0	7897347589.291758
9750.0	7752292984.785843
9760.0	8064028203.46061
9770.0	7837790764.733989
9780.0	8080069586.141937
9790.0	7483580774.725581
9800.0	8036585626.584688
9810.0	8037138852.611334
9820.0	7996429657.276059
9830.0	7880185894.950806
9840.0	7976465802.1397
9850.0	8015226176.038376
9860.0	8028440028.465382
9870.0	8007032867.518241
9880.0	8022762788.807466
9890.0	8015544981.247177
9900.0	7824942159.136446
9910.0	7628924522.087259
9920.0	7582840991.661402
9930.0	7639579148.503007
9940.0	7741790695.983846
9950.0	7784094037.657477
9960.0	7767579893.464176
9970.0	7837185739.776877
9980.0	7796416958.242541
9990.0	7683449868.132321
10000.0	7746347698.262402
10010.0	7650396567.3743305
10020.0	7819599133.953342
10030.0	7823991710.203813
10040.0	7686369533.604199
10050.0	7668104246.141896
10060.0	7518865701.275346
10070.0	7662031812.797619
10080.0	7766418636.836343
10090.0	7719620814.013054
10100.0	7784328514.967018
10110.0	7721691173.943891
10120.0	7709153522.247289
10130.0	7794557184.602538
10140.0	7682075339.894674
10150.0	7610299109.603657
10160.0	7626885438.897764
10170.0	7620932254.388054
10180.0	7741442767.361848
10190.0	7627842626.960414
10200.0	7627885804.189728
10210.0	7617935289.5777445
10220.0	7531358345.415732
10230.0	7708662021.519157
10240.0	7751031014.289508
10250.0	7695332026.292789
10260.0	7557815993.283352
10270.0	7532786029.267718
10280.0	7571963873.511954
10290.0	7515070593.837051
10300.0	7582240656.664233
10310.0	7667987454.255144
10320.0	7658979969.823213
10330.0	7502232681.081126
10340.0	7528621420.665543
10350.0	7208807217.941233
10360.0	7664269600.967756
10370.0	7602950172.964182
10380.0	7540366325.76685
10390.0	7601624531.245083
10400.0	7331386486.068536
10410.0	7658414502.033605
10420.0	7524334142.889433
10430.0	7443983269.978142
10440.0	7619083777.456347
10450.0	7605979623.167189
10460.0	7606206603.8323145
10470.0	7445767550.372514
10480.0	7548378700.873991
10490.0	7545307782.298113
10500.0	7447236302.349862
10510.0	7499318804.147909
10520.0	7487068342.716192
10530.0	7546454876.387373
10540.0	7516438041.176877
10550.0	7552637793.771728
10560.0	7501073633.093179
10570.0	7466926891.2947235
10580.0	7527547081.312494
10590.0	7303816107.061603
10600.0	7536111801.67721
10610.0	7326551332.134134
10620.0	7495172170.288312
10630.0	7503615455.943678
10640.0	7503272003.9498005
10650.0	7457854465.42882
10660.0	7259303192.797062
10670.0	7410545425.177646
10680.0	7337139310.5287695
10690.0	7388356973.667615
10700.0	7432403858.41807
10710.0	7371029779.798959
10720.0	7413366554.944711
10730.0	7258130240.003177
10740.0	7323057409.836465
10750.0	7342972986.689305
10760.0	7378792374.336914
10770.0	7397980536.626672
10780.0	7334570111.413255
10790.0	7311943122.712322
10800.0	7275860625.650265
10810.0	7078360569.376033
10820.0	7260989258.691269
10830.0	7273484217.752288
10840.0	7300469016.262974
10850.0	7285365683.588241
10860.0	7328761425.241144
10870.0	7236522753.108878
10880.0	7297238475.550751
10890.0	7228771643.138021
10900.0	7297584012.731063
10910.0	7228406392.655378
10920.0	7226207384.034019
10930.0	7278475596.872551
10940.0	7295793731.0067005
10950.0	7295066981.085483
10960.0	7183650903.755587
10970.0	7148860284.911409
10980.0	7151980731.5494995
10990.0	7181041830.812581
11000.0	7215793239.756145
11010.0	7231416567.057222
11020.0	7094747636.926323
11030.0	7149016767.757186
11040.0	7125508101.131179
11050.0	7081966136.076442
11060.0	7126339437.822491
11070.0	7086851032.902753
11080.0	7114925835.080274
11090.0	7113756118.343257
11100.0	7107565640.165373
11110.0	7108604526.236829
11120.0	7030272950.628755
11130.0	7079743573.197551
11140.0	7111190766.536712
11150.0	7075689810.104072
11160.0	7006440465.504236
11170.0	7078748147.439278
11180.0	7087183142.405544
11190.0	7037042384.682218
11200.0	7000583225.964149
11210.0	7052988090.854824
11220.0	7048539821.799574
11230.0	7017169594.195868
11240.0	7085823092.852933
11250.0	6833498447.614324
11260.0	6611753192.122055
11270.0	7058448092.201348
11280.0	7002215956.066705
11290.0	7014591166.036146
11300.0	6886721354.363737
11310.0	6963580558.51525
11320.0	7018723109.409992
11330.0	7000392865.2897835
11340.0	6911971340.002286
11350.0	7004948325.614356
11360.0	6960208019.208889
11370.0	6995478450.5585985
11380.0	6571909676.824222
11390.0	6842488779.952887
11400.0	6880615751.627712
11410.0	6602142842.22635
11420.0	6953130246.845458
11430.0	6819103273.125184
11440.0	6781397033.537301
11450.0	6937405018.609379
11460.0	6925645443.440464
11470.0	6924768735.967641
11480.0	6827157638.241716
11490.0	6844527219.5227
11500.0	6937358533.439547
11510.0	6896164213.702663
11520.0	6917471225.27812
11530.0	6898445015.516602
11540.0	6874961783.271015
11550.0	6889739936.754043
11560.0	6883408487.37656
11570.0	6860415428.121155
11580.0	6856581910.588849
11590.0	6859148647.192745
11600.0	6678550220.384804
11610.0	6422799175.147408
11620.0	6847778071.962236
11630.0	6837519137.288286
11640.0	6571581087.277104
11650.0	6826936147.190059
11660.0	6811226636.673888
11670.0	6794717543.788157
11680.0	6793788392.94364
11690.0	6470699010.415281
11700.0	6789762085.932452
11710.0	6785963024.7535715
11720.0	6767154244.198821
11730.0	6778873851.451437
11740.0	6748797213.559473
11750.0	6755921524.644798
11760.0	6755651376.349405
11770.0	6645838801.552516
11780.0	6488242616.615307
11790.0	6519455309.439366
11800.0	6678828138.258034
11810.0	6700412100.0876255
11820.0	6696414313.010411
11830.0	6184702926.900865
11840.0	6666545122.113113
11850.0	6685890336.855023
11860.0	6690650626.552757
11870.0	6685693643.147227
11880.0	6632786704.589704
11890.0	6099350711.143755
11900.0	6570511549.610595
11910.0	6648265336.898549
11920.0	6635966985.903341
11930.0	6651108597.798062
11940.0	6625081633.558072
11950.0	6509660533.464402
11960.0	6479956062.957053
11970.0	6527607833.810342
11980.0	6056862235.598394
11990.0	6434509194.173693
12000.0	6559214057.966349
12010.0	6566861735.915832
12020.0	6553532581.133168
12030.0	6453444335.857082
12040.0	6514306576.30413
12050.0	6547507846.344843
12060.0	6556350161.3727665
12070.0	6514190026.636312
12080.0	6489989455.053453
12090.0	6190462406.555809
12100.0	6537133118.739634
12110.0	6460301283.854205
12120.0	6511730910.063066
12130.0	6511348139.613496
12140.0	6517559933.305451
12150.0	6513594110.581225
12160.0	6493537021.810511
12170.0	6465825610.198114
12180.0	6502621000.329041
12190.0	6465634354.302778
12200.0	6461957856.409006
12210.0	6465389057.034633
12220.0	6460811918.917726
12230.0	6448068147.008772
12240.0	6434126143.794993
12250.0	6434845695.653024
12260.0	6443670138.374913
12270.0	6378445339.924199
12280.0	6432737533.078832
12290.0	6420478819.515226
12300.0	6410552226.620767
12310.0	6398353984.148366
12320.0	6376901532.824653
12330.0	6371221164.200452
12340.0	6380926100.651808
12350.0	6377982988.234506
12360.0	6350966182.749298
12370.0	6356054217.239912
12380.0	6377417895.114449
12390.0	6331128443.960631
12400.0	6336222078.699343
12410.0	6303223207.749958
12420.0	6285841126.190625
12430.0	6253940659.887093
12440.0	6178532838.7998
12450.0	6307056633.842561
12460.0	6296248363.185942
12470.0	6288522175.483314
12480.0	6278905510.553339
12490.0	6272397479.436301
12500.0	6267004618.089466
12510.0	6270445380.657303
12520.0	6223752285.307312
12530.0	6097553137.845333
12540.0	6213706542.66982
12550.0	6243370443.849859
12560.0	6209394811.176901
12570.0	6194242594.259089
12580.0	6223487470.561219
12590.0	6223086193.369632
12600.0	6168373101.266558
12610.0	6196318672.641516
12620.0	6196202701.20837
12630.0	6211760093.631664
12640.0	6134966161.975564
12650.0	6167960659.995907
12660.0	6195479206.540669
12670.0	6131978330.64221
12680.0	6056535778.000233
12690.0	6180658959.869883
12700.0	6162694772.117416
12710.0	6151150076.504225
12720.0	6174218357.141423
12730.0	6163929793.271534
12740.0	6050627547.953512
12750.0	6072465316.838591
12760.0	6139245170.296403
12770.0	6129619384.126259
12780.0	6120113403.698689
12790.0	6130793373.3344555
12800.0	6121526115.958912
12810.0	6053477029.76863
12820.0	5964000139.497725
