# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
19000.0	326831751.96930856
19001.0	423944221.7238422
19002.0	398883558.161479
19003.0	402767989.93498063
19004.0	246327377.9752962
19005.0	310338829.7485585
19006.0	224672154.85536212
19007.0	328432649.90395826
19008.0	367275070.0978118
19009.0	368942228.83343583
19010.0	354787732.2404094
19011.0	252836247.0672709
19012.0	240913500.7336972
19013.0	341822509.6964721
19014.0	250523880.9619201
19015.0	260001657.27554765
19016.0	250190774.8207287
19017.0	368707496.09670645
19018.0	392810148.568057
19019.0	367163844.77715605
19020.0	301653158.237915
19021.0	340555018.32764834
19022.0	384754656.5806246
19023.0	297047423.9169214
19024.0	406380487.22314155
19025.0	365759371.78535694
19026.0	336624606.52897
19027.0	360134395.0864751
19028.0	318811451.59311885
19029.0	235135877.7767271
19030.0	205934817.79190314
19031.0	303589322.99454594
19032.0	367358088.87784255
19033.0	254505755.1337562
19034.0	346891548.0796425
19035.0	413266605.8752128
19036.0	350813276.37944144
19037.0	249590133.14543924
19038.0	295135294.674021
19039.0	257151622.79493704
19040.0	267114449.69977498
19041.0	291372108.5605072
19042.0	319976173.94165623
19043.0	320403062.6054994
19044.0	393837665.49027556
19045.0	325975478.37999666
19046.0	297977922.8546068
19047.0	266089882.52155623
19048.0	371067094.6685767
19049.0	360539521.66979986
19050.0	417538881.3575507
19051.0	373938645.0786652
19052.0	304423591.2085489
19053.0	293180596.87878835
19054.0	217729847.4072908
19055.0	353722030.86919117
19056.0	330480391.5008467
19057.0	267145798.9430994
19058.0	374100225.5030051
19059.0	267929964.0584952
19060.0	321959666.6565732
19061.0	202240162.68523705
19062.0	215908833.54765287
19063.0	305034770.0429839
19064.0	327942934.03984797
19065.0	352624149.8339412
19066.0	371955599.5754957
19067.0	210971049.53248963
19068.0	307330817.4972057
19069.0	249400306.37590954
19070.0	227891303.3589719
19071.0	305869314.8928283
19072.0	329444987.83526593
19073.0	349982800.9757815
19074.0	269936261.3977629
19075.0	387182450.7255144
19076.0	341609696.80498594
19077.0	341228633.7424952
19078.0	338901880.3904113
19079.0	270883230.2039501
19080.0	315166376.1791548
19081.0	370042041.3347839
19082.0	438607047.17381316
19083.0	346988790.3304575
19084.0	354590445.0231567
19085.0	309777126.1795458
19086.0	313167802.1815229
19087.0	412407532.9451419
19088.0	332506418.9422502
19089.0	282308935.95838577
19090.0	316878151.0760072
19091.0	329937092.6409394
19092.0	363110019.70679396
19093.0	304141640.7940849
19094.0	315026031.82215804
19095.0	306799677.5199256
19096.0	307151898.3545291
19097.0	253355184.53866187
19098.0	396733714.14892143
19099.0	334178544.062183
19100.0	343927622.30773026
19101.0	339096631.92915463
19102.0	309671358.6282096
19103.0	246714439.2568341
19104.0	382572332.91030854
19105.0	339861654.2244613
19106.0	256765149.51886278
19107.0	294291776.0750937
19108.0	300270461.94210213
19109.0	313723594.25153786
19110.0	300596314.6109911
19111.0	233087140.34802938
19112.0	246522902.2561672
19113.0	265452827.54299393
19114.0	228001464.2869634
19115.0	263040420.9376033
19116.0	233025761.4291552
19117.0	218230952.0493861
19118.0	333493400.45985365
19119.0	359505239.2213189
19120.0	267747545.22468278
19121.0	261595282.26824757
19122.0	354673157.80967414
19123.0	410397611.4476854
19124.0	383175889.92406106
19125.0	294669233.62408704
19126.0	321362747.8566996
19127.0	274147552.2071902
19128.0	315677688.95793545
19129.0	365300763.35233796
19130.0	437586735.8324683
19131.0	378708694.69426006
19132.0	348946682.0089122
19133.0	318332221.32512987
19134.0	282299892.0379406
19135.0	373561014.14304495
19136.0	247919136.0035237
19137.0	228354784.53930888
19138.0	273867312.9641334
19139.0	408376185.79405206
19140.0	402085553.1794113
19141.0	438869658.49769264
19142.0	376768498.7768988
19143.0	292928699.58290166
19144.0	237755975.48243514
19145.0	282603169.353065
19146.0	378636878.9423889
19147.0	345793098.40427303
19148.0	335399358.1431598
19149.0	304775598.0495148
19150.0	389654638.8787013
19151.0	346929709.5195698
19152.0	379179106.0085582
19153.0	349491225.05968976
19154.0	332049914.9414442
19155.0	368121771.4828639
19156.0	345261380.40050954
19157.0	352553557.51984125
19158.0	381715181.0114416
19159.0	258409206.71073407
19160.0	258884486.73027793
19161.0	261863072.6497096
19162.0	250505222.10762143
19163.0	301054235.4655414
19164.0	275341890.03791195
19165.0	227088743.62414402
19166.0	262890851.71447328
19167.0	273910652.85891175
19168.0	316901206.7001647
19169.0	301333274.6633623
19170.0	316595157.8360245
19171.0	295584986.5583506
19172.0	294897249.2785788
19173.0	357548676.13683945
19174.0	288337124.6706334
19175.0	275422301.613525
19176.0	334915708.712031
19177.0	345069793.00524867
19178.0	346599697.0177033
19179.0	307419228.6924311
19180.0	318810467.02683854
19181.0	269845559.1280458
19182.0	305207303.920288
19183.0	301944638.1071756
19184.0	335257943.7746383
19185.0	305353935.1802364
19186.0	296500565.8059656
19187.0	399724703.1184579
19188.0	377262749.03780866
19189.0	383636035.49362886
19190.0	331006590.95596355
19191.0	334923838.7654166
19192.0	394929166.3247079
19193.0	359117206.3023735
19194.0	371624781.6217048
19195.0	374715776.6393941
19196.0	348555128.96283937
19197.0	211416004.39171994
19198.0	207974571.9180926
19199.0	303336538.47947073
19200.0	256060714.5656678
19201.0	342574273.40171546
19202.0	345201198.0922813
19203.0	342905615.1168553
19204.0	350995926.3114785
19205.0	328106387.967239
19206.0	265385975.59889737
19207.0	160739890.589852
19208.0	264517531.80005947
