# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
9000.0	73657164.99999997
9010.0	97767997.49999997
9020.0	96044567.49999997
9030.0	81784777.49999999
9040.0	84561722.49999997
9050.0	99268527.49999999
9060.0	92621797.49999999
9070.0	93720444.99999999
9080.0	124021424.99999997
9090.0	115136974.99999997
9100.0	115325515.0
9110.0	119413107.49999999
9120.0	158941097.49999997
9130.0	142184004.99999994
9140.0	125859799.99999997
9150.0	141262119.99999997
9160.0	162967149.99999994
9170.0	165374132.49999997
9180.0	156752937.49999997
9190.0	162906222.49999994
9200.0	131812897.49999997
9210.0	119496162.49999997
9220.0	115665914.99999996
9230.0	105460984.99999999
9240.0	88964277.49999999
9250.0	100927884.99999996
9260.0	102244477.49999999
9270.0	92040994.99999999
9280.0	83556197.49999999
9290.0	87582159.99999997
9300.0	89383499.99999999
9310.0	83713455.0
9320.0	90917327.49999997
9330.0	85995062.49999999
9340.0	108543112.49999997
9350.0	81849834.99999997
9360.0	98042694.99999996
9370.0	87798932.50000001
9380.0	111019737.49999999
9390.0	93034390.0
9400.0	105515867.49999997
9410.0	103847644.99999999
9420.0	115382059.99999997
9430.0	122340874.99999997
9440.0	99207354.99999997
9450.0	108144139.99999997
9460.0	107014254.99999997
9470.0	105161592.49999999
9480.0	126219712.49999997
9490.0	141255827.49999994
9500.0	113226022.49999999
9510.0	119355822.49999996
9520.0	136922392.49999997
9530.0	124316017.49999994
9540.0	136376587.49999997
9550.0	135325392.5
9560.0	136996737.49999997
9570.0	125290764.99999999
9580.0	181128924.99999994
9590.0	160130174.99999997
9600.0	134297824.99999997
9610.0	151151674.99999997
9620.0	144349440.0
9630.0	169472774.99999994
9640.0	141190074.99999997
9650.0	147383859.99999997
9660.0	177944274.99999997
9670.0	181941824.99999997
9680.0	176632949.99999997
9690.0	163712099.99999997
9700.0	204503899.99999997
9710.0	198391849.99999997
9720.0	158145475.0
9730.0	163044224.99999997
9740.0	151175644.99999997
9750.0	148974974.99999997
9760.0	161117699.99999997
9770.0	164969099.99999997
9780.0	135957229.99999997
9790.0	138888234.99999997
9800.0	187943799.99999994
9810.0	134827549.99999997
9820.0	125304699.99999996
9830.0	124235124.99999996
9840.0	141591224.99999994
9850.0	140367099.99999997
9860.0	164869449.99999994
9870.0	133205375.0
9880.0	156999749.99999997
9890.0	167583649.99999994
9900.0	95851240.0
9910.0	71814964.99999997
9920.0	70026414.99999997
9930.0	77005792.49999999
9940.0	86804342.49999999
9950.0	92193159.99999999
9960.0	94862862.49999999
9970.0	101117694.99999997
9980.0	90738694.99999997
9990.0	83759749.99999999
10000.0	93651817.49999999
10010.0	97040294.99999997
10020.0	100771087.49999997
10030.0	108905572.49999997
10040.0	96719087.49999997
10050.0	101098699.99999999
10060.0	83604239.99999997
10070.0	90395362.49999997
10080.0	108453229.99999999
10090.0	107741997.49999996
10100.0	116061042.49999997
10110.0	103411902.49999997
10120.0	105344442.5
10130.0	112193667.49999997
10140.0	102081417.49999997
10150.0	107713924.99999999
10160.0	104191384.99999999
10170.0	96966964.99999997
10180.0	120946157.49999999
10190.0	105189794.99999997
10200.0	101131937.49999996
10210.0	108913134.99999999
10220.0	108980072.49999999
10230.0	115402957.49999996
10240.0	126338724.99999999
10250.0	116104224.99999999
10260.0	98279782.49999999
10270.0	102701207.49999997
10280.0	104869652.49999999
10290.0	113295195.0
10300.0	104033822.49999999
10310.0	120095554.99999997
10320.0	106611654.99999999
10330.0	114861024.99999997
10340.0	109354822.49999999
10350.0	117188862.49999997
10360.0	123681484.99999996
10370.0	129623284.99999996
10380.0	122564942.49999997
10390.0	118796002.49999997
10400.0	131886524.99999999
10410.0	147373025.0
10420.0	121868849.99999999
10430.0	111029014.99999997
10440.0	128780325.0
10450.0	140968249.99999997
10460.0	182300104.99999997
10470.0	112595947.49999996
10480.0	118663997.5
10490.0	150539874.99999994
10500.0	143036474.99999997
10510.0	132378524.99999999
10520.0	117418324.99999997
10530.0	173796599.99999997
10540.0	154986524.99999994
10550.0	165156299.99999997
10560.0	131074574.99999999
10570.0	121081124.99999996
10580.0	157649699.99999997
10590.0	150520249.99999997
10600.0	169717399.99999997
10610.0	146900499.99999997
10620.0	135005499.99999997
10630.0	159678099.99999994
10640.0	192362724.99999997
10650.0	168487024.99999994
10660.0	175272350.0
10670.0	132140074.99999999
10680.0	153748074.99999994
10690.0	203493174.99999994
10700.0	172816749.99999994
10710.0	165040334.99999994
10720.0	157305149.99999997
10730.0	169484724.99999994
10740.0	200693374.99999997
10750.0	226428574.99999997
10760.0	242355824.99999997
10770.0	228769049.99999994
10780.0	231849625.0
10790.0	280449774.99999994
10800.0	286729724.9999999
10810.0	285915724.99999994
10820.0	266509224.99999997
10830.0	284642675.0
10840.0	314179724.99999994
10850.0	263055599.9999999
10860.0	208165299.99999994
10870.0	255100450.0
10880.0	307675299.9999999
10890.0	233714899.99999997
10900.0	278667649.99999994
10910.0	233745974.99999994
10920.0	247196374.99999994
10930.0	287522374.99999994
10940.0	286330825.0
10950.0	290419299.99999994
10960.0	260716749.99999994
10970.0	267607224.99999997
10980.0	210275649.99999997
10990.0	237277374.99999994
11000.0	212981574.99999994
11010.0	253899824.9999999
11020.0	238265474.99999994
11030.0	211281299.99999994
11040.0	183534199.99999994
11050.0	191083599.99999994
11060.0	192996874.99999994
11070.0	173533249.99999994
11080.0	172193874.99999994
11090.0	192242849.99999997
11100.0	208443375.00000003
11110.0	179107350.0
11120.0	238779299.99999994
11130.0	238186825.0
11140.0	248646899.9999999
11150.0	218468719.99999997
11160.0	234182199.99999994
11170.0	244699424.99999994
11180.0	197436599.99999994
11190.0	185986474.9999999
11200.0	204477199.99999994
11210.0	226972674.9999999
11220.0	221136837.49999997
11230.0	233245787.49999994
11240.0	233564949.9999999
11250.0	247154639.99999997
11260.0	240053569.99999994
11270.0	208824149.99999994
11280.0	236213574.9999999
11290.0	235306849.99999994
11300.0	269799299.99999994
11310.0	248143524.99999994
11320.0	262352124.9999999
11330.0	272540049.99999994
11340.0	210489549.99999997
11350.0	176884774.99999994
11360.0	220425724.99999994
11370.0	235091299.99999994
11380.0	171838224.99999997
11390.0	197913999.99999994
11400.0	204689974.99999997
11410.0	172203049.9999999
11420.0	220978549.99999997
11430.0	203751449.99999994
11440.0	203395399.99999997
11450.0	234458199.99999997
11460.0	228925749.99999994
11470.0	270070224.99999994
11480.0	228018849.99999994
11490.0	274907125.0
11500.0	248658149.9999999
11510.0	256136549.9999999
11520.0	269670174.99999994
11530.0	261111399.99999997
11540.0	256694124.99999994
11550.0	254202749.9999999
11560.0	292918499.99999994
11570.0	247063224.99999997
11580.0	270001024.9999999
11590.0	299074200.0
11600.0	243112174.99999994
11610.0	254266424.99999994
11620.0	281794074.9999999
11630.0	286424274.99999994
11640.0	220860274.99999994
11650.0	255889399.99999994
11660.0	203720999.9999999
11670.0	275054600.0
11680.0	235717099.99999994
11690.0	159284774.99999997
11700.0	179842499.99999994
11710.0	229124824.99999994
11720.0	272608599.99999994
11730.0	212494214.99999997
11740.0	226071149.9999999
11750.0	233432349.99999997
11760.0	217594699.99999997
11770.0	167586737.49999994
11780.0	139459387.49999997
11790.0	206695950.0
11800.0	225341149.99999994
11810.0	223784899.99999997
11820.0	243043249.99999997
11830.0	271140074.99999994
11840.0	249180449.99999994
11850.0	242239374.99999997
11860.0	235754499.99999994
11870.0	230141874.99999994
11880.0	268434424.99999994
11890.0	235371549.9999999
11900.0	279241724.99999994
11910.0	269563224.9999999
11920.0	289527399.99999994
11930.0	285777124.99999994
