# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
9000.0	337512574.9999999
9010.0	606035724.9999999
9020.0	621652224.9999999
9030.0	369592849.99999994
9040.0	582222824.9999999
9050.0	705754199.9999999
9060.0	531852299.9999998
9070.0	662447574.9999999
9080.0	751766999.9999999
9090.0	807479799.9999999
9100.0	884919399.9999998
9110.0	853282899.9999998
9120.0	1016485724.9999998
9130.0	985209399.9999996
9140.0	946550074.9999996
9150.0	802318499.9999999
9160.0	1084676349.9999998
9170.0	1064569925.0
9180.0	1079224449.9999998
9190.0	1052926324.9999998
9200.0	706590149.9999999
9210.0	693291599.9999999
9220.0	818900799.9999999
9230.0	599565524.9999999
9240.0	566607274.9999999
9250.0	477104149.9999999
9260.0	559391874.9999999
9270.0	487866549.99999976
9280.0	474942574.99999994
9290.0	458055350.0
9300.0	400026649.9999998
9310.0	340996749.99999994
9320.0	462399599.9999999
9330.0	386903199.99999994
9340.0	639462999.9999999
9350.0	344148099.9999999
9360.0	579289599.9999999
9370.0	438855824.99999994
9380.0	723403900.0
9390.0	438934924.9999999
9400.0	565936899.9999999
9410.0	733128124.9999999
9420.0	667894899.9999999
9430.0	922087700.0
9440.0	496959799.9999999
9450.0	678925649.9999999
9460.0	580120124.9999999
9470.0	719795924.9999998
9480.0	905394749.9999999
9490.0	997124249.9999999
9500.0	721779549.9999999
9510.0	769671324.9999998
9520.0	985589799.9999999
9530.0	793512249.9999999
9540.0	884434899.9999999
9550.0	770990399.9999998
9560.0	967592349.9999999
9570.0	685266924.9999998
9580.0	1212894224.9999995
9590.0	1102052399.9999995
9600.0	799263949.9999998
9610.0	958109750.0
9620.0	965761274.9999999
9630.0	1045138774.9999999
9640.0	587010724.9999999
9650.0	653675249.9999998
9660.0	1014513574.9999998
9670.0	1070993524.9999998
9680.0	683837374.9999998
9690.0	731342499.9999999
9700.0	1145691374.9999995
9710.0	843063149.9999996
9720.0	765460424.9999999
9730.0	849407049.9999998
9740.0	814527149.9999999
9750.0	801113849.9999996
9760.0	851269824.9999999
9770.0	908563699.9999996
9780.0	818386749.9999999
9790.0	447883450.0
9800.0	1029169649.9999996
9810.0	741275799.9999998
9820.0	609756175.0
9830.0	604707649.9999999
