# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
19000.0	127638999.99999997
19001.0	130967999.99999999
19002.0	133393625.0
19003.0	128664999.99999997
19004.0	118873743.74999996
19005.0	85860949.99999997
19006.0	59036162.499999985
19007.0	92560949.99999997
19008.0	130637556.24999996
19009.0	135675499.99999994
19010.0	134192124.99999997
19011.0	126619499.99999999
19012.0	118534249.99999997
19013.0	113462499.99999997
19014.0	108491212.49999997
19015.0	101109199.99999997
19016.0	97132787.49999999
19017.0	116000699.99999999
19018.0	134758025.0
19019.0	130007500.0
19020.0	123667249.99999997
19021.0	131296499.99999996
19022.0	139908249.99999994
19023.0	140445499.99999997
19024.0	139559062.49999997
19025.0	138205000.0
19026.0	136873624.99999997
19027.0	136145999.99999997
19028.0	129868256.24999997
19029.0	89686049.99999997
19030.0	55156712.49999999
19031.0	88449049.99999999
19032.0	127703506.24999996
19033.0	134908999.99999997
19034.0	136638999.99999997
19035.0	137564999.99999997
19036.0	137830812.49999997
19037.0	134939499.99999997
19038.0	131038437.5
19039.0	124235999.99999997
19040.0	118790499.99999997
19041.0	124387999.99999999
19042.0	131505812.5
19043.0	136702499.99999997
19044.0	140474499.99999994
19045.0	137619499.99999997
19046.0	134468437.49999994
19047.0	136167999.99999994
19048.0	138442687.49999997
19049.0	139317499.99999997
19050.0	137984374.99999997
19051.0	124803499.99999997
19052.0	108876218.74999996
19053.0	88318249.99999997
19054.0	73282062.49999999
19055.0	96007249.99999999
19056.0	121919031.24999999
19057.0	129188999.99999999
19058.0	132623187.49999999
19059.0	131684500.0
19060.0	129291874.99999999
19061.0	122548499.99999997
19062.0	116599249.99999997
19063.0	119765499.99999999
19064.0	124326249.99999996
19065.0	128138499.99999997
19066.0	130762187.49999996
19067.0	127002999.99999996
19068.0	120540243.74999997
19069.0	104238949.99999999
19070.0	90456287.49999999
19071.0	101623949.99999999
19072.0	115611306.24999997
19073.0	121566499.99999997
19074.0	126588624.99999999
19075.0	134044499.99999997
19076.0	140923312.49999997
19077.0	141906000.0
19078.0	141824687.5
19079.0	141255500.0
19080.0	140686312.49999997
19081.0	140604999.99999997
19082.0	140385187.49999994
19083.0	138846499.99999994
19084.0	137074312.49999997
19085.0	135220000.0
19086.0	133819000.0
19087.0	135220000.0
19088.0	136319562.49999997
19089.0	132808499.99999997
19090.0	129758187.49999999
19091.0	134082999.99999997
19092.0	138120062.49999997
19093.0	133055499.99999999
19094.0	127278499.99999999
19095.0	126328499.99999997
19096.0	126981999.99999999
19097.0	132429499.99999997
19098.0	137895187.49999997
19099.0	138675999.99999997
19100.0	138362499.99999997
19101.0	136167999.99999994
19102.0	134227312.49999997
19103.0	135690499.99999997
19104.0	132839600.0
19105.0	100700299.99999997
19106.0	73054524.99999999
19107.0	101658299.99999999
19108.0	134849537.5
19109.0	139315999.99999997
19110.0	137844812.49999994
19111.0	129472499.99999997
19112.0	117281581.24999997
19113.0	89080149.99999999
19114.0	65299699.99999998
19115.0	84055649.99999999
19116.0	107597643.74999997
19117.0	117319499.99999997
19118.0	123900999.99999996
19119.0	125460499.99999996
19120.0	126893437.49999997
19121.0	132588999.99999999
19122.0	138335437.49999997
19123.0	140124499.99999997
19124.0	140773874.99999994
19125.0	138542499.99999997
19126.0	135530687.49999997
19127.0	130716999.99999994
19128.0	127179874.99999994
19129.0	133103999.99999996
19130.0	139156687.49999997
19131.0	136519499.99999997
19132.0	132112812.49999996
19133.0	125778999.99999996
19134.0	118604312.49999996
19135.0	108311499.99999997
19136.0	98404681.24999997
19137.0	93931949.99999999
19138.0	93497474.99999999
19139.0	111858449.99999999
19140.0	130879118.74999999
19141.0	135062499.99999997
19142.0	135629562.49999994
19143.0	129335999.99999997
19144.0	123758249.99999997
19145.0	129335999.99999997
19146.0	135402437.49999997
19147.0	133245499.99999997
19148.0	130738749.99999996
19149.0	134356499.99999994
19150.0	138335562.49999994
19151.0	138357999.99999997
19152.0	138021437.5
19153.0	139487499.99999997
19154.0	140753124.99999997
19155.0	139013499.99999997
19156.0	137211999.99999997
19157.0	138044499.99999997
19158.0	136889749.99999997
19159.0	121177499.99999997
19160.0	105016443.74999997
19161.0	100720049.99999997
