# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
19000.0	598992124.9999998
19001.0	666465999.9999999
19002.0	751362937.4999998
19003.0	697665499.9999999
19004.0	614566624.9999999
19005.0	493653499.9999999
19006.0	425488812.49999994
19007.0	711628999.9999999
19008.0	1030011124.9999996
19009.0	1187539999.9999998
19010.0	1260917312.4999998
19011.0	990238499.9999998
19012.0	693737687.4999999
19013.0	586360999.9999999
19014.0	516517187.49999976
19015.0	482746499.9999999
19016.0	484707562.4999999
19017.0	664985999.9999999
19018.0	833031187.4999999
19019.0	749359499.9999998
19020.0	680970249.9999999
19021.0	955992499.9999999
19022.0	1233947812.5
19023.0	1186089999.9999998
19024.0	1082028124.9999998
19025.0	966554999.9999998
19026.0	868041874.9999998
19027.0	882699999.9999999
19028.0	878094374.9999999
19029.0	644734999.9999999
19030.0	481105624.9999999
19031.0	964609999.9999996
19032.0	1439488374.9999998
19033.0	1215476999.9999998
19034.0	923655812.4999998
19035.0	923865499.9999998
19036.0	963368249.9999998
19037.0	946598499.9999999
19038.0	897950374.9999999
19039.0	714304499.9999998
19040.0	549687624.9999999
19041.0	634242499.9999999
19042.0	788431437.4999999
19043.0	1111252999.9999998
19044.0	1383536187.4999998
19045.0	1183956499.9999998
19046.0	955661999.9999999
19047.0	1026941499.9999999
19048.0	1161673312.4999998
19049.0	1377544999.9999998
19050.0	1511628999.9999995
19051.0	1073847000.0
19052.0	621997374.9999999
19053.0	657607999.9999999
19054.0	787113874.9999998
19055.0	992530999.9999998
19056.0	1186000124.9999998
19057.0	1231869999.9999995
19058.0	1226972562.4999998
19059.0	1065070499.9999999
19060.0	882754937.4999999
19061.0	734962999.9999999
19062.0	619953812.4999999
19063.0	667117499.9999999
19064.0	759474062.4999998
19065.0	960814999.9999999
19066.0	1155474374.9999998
19067.0	1201059999.9999998
19068.0	1169383749.9999998
19069.0	823209999.9999998
19070.0	495098250.0
19071.0	589855999.9999998
19072.0	719893999.9999999
19073.0	638743999.9999998
19074.0	584067249.9999998
19075.0	899417999.9999996
19076.0	1230608499.9999998
19077.0	1286809999.9999998
19078.0	1287400624.9999998
19079.0	1229314999.9999995
19080.0	1170773749.9999998
19081.0	1168174999.9999998
19082.0	1150273624.9999998
19083.0	984613999.9999998
19084.0	809007874.9999998
19085.0	721480999.9999999
19086.0	678842687.4999999
19087.0	817456499.9999998
19088.0	953523374.9999998
19089.0	893056499.9999998
19090.0	816816937.4999996
19091.0	842474999.9999998
19092.0	861609374.9999998
19093.0	739703999.9999998
19094.0	614129562.4999998
19095.0	607580499.9999999
19096.0	673918624.9999999
19097.0	1058554499.9999996
19098.0	1414065562.4999998
19099.0	1276529999.9999998
19100.0	1074840812.4999995
19101.0	981276499.9999999
19102.0	938528874.9999999
19103.0	1092556499.9999998
19104.0	1198653937.4999998
19105.0	820394999.9999999
19106.0	469288749.9999999
19107.0	765454999.9999998
19108.0	1106001374.9999998
19109.0	1065555999.9999998
19110.0	948929749.9999999
19111.0	756209999.9999998
19112.0	563431437.4999999
19113.0	446393499.99999994
19114.0	369788124.99999994
19115.0	460037499.9999999
19116.0	606801437.4999998
19117.0	925797999.9999998
19118.0	1207444187.4999998
19119.0	1092755499.9999998
19120.0	957748999.9999999
19121.0	1097170499.9999998
19122.0	1265512562.4999995
19123.0	1332949999.9999995
19124.0	1345330062.4999998
19125.0	1128270499.9999998
19126.0	890122499.9999999
19127.0	754883499.9999998
19128.0	697437187.4999999
19129.0	1003837999.9999998
19130.0	1285332687.5
19131.0	1053543499.9999998
19132.0	793230499.9999998
19133.0	875058499.9999998
19134.0	974572749.9999999
19135.0	838063499.9999998
19136.0	736539249.9999999
19137.0	1080948499.9999998
19138.0	1407793687.4999998
19139.0	1183320999.9999998
19140.0	913822437.4999998
19141.0	925486499.9999999
19142.0	972988374.9999999
19143.0	954354499.9999999
19144.0	948393312.4999999
19145.0	1084603999.9999998
19146.0	1226150499.9999998
19147.0	1257539999.9999998
19148.0	1267133749.9999998
19149.0	1256109999.9999998
19150.0	1224048624.9999995
19151.0	1086379000.0
19152.0	980809499.9999998
19153.0	1173448999.9999998
19154.0	1347695562.4999998
19155.0	1113375500.0
19156.0	872188374.9999999
19157.0	998365499.9999996
19158.0	1118494562.4999998
19159.0	834970999.9999998
19160.0	537286874.9999999
19161.0	558291999.9999998
19162.0	621893124.9999999
19163.0	622380999.9999999
19164.0	628528124.9999999
19165.0	731743999.9999999
19166.0	850451999.9999998
19167.0	965043999.9999999
19168.0	1040318124.9999996
19169.0	883800999.9999998
19170.0	708453437.4999998
19171.0	651914499.9999998
19172.0	645423749.9999998
19173.0	820413499.9999999
19174.0	995579374.9999999
19175.0	990321499.9999999
19176.0	947351937.4999999
19177.0	858535999.9999998
19178.0	799937437.4999998
19179.0	968489499.9999998
19180.0	1117055999.9999998
19181.0	918558499.9999998
19182.0	713527999.9999998
19183.0	816363499.9999999
19184.0	947585499.9999999
19185.0	941260499.9999999
19186.0	931090250.0
19187.0	1035395499.9999999
19188.0	1126508249.9999998
19189.0	1023990499.9999998
19190.0	920762124.9999998
19191.0	1006900499.9999998
19192.0	1120115687.5
19193.0	1206424999.9999998
19194.0	1275467499.9999998
19195.0	1267814999.9999998
19196.0	1190418187.4999998
19197.0	771250499.9999998
19198.0	365090937.4999998
19199.0	378750999.9999999
19200.0	488474062.4999999
19201.0	754755499.9999999
19202.0	1036734437.4999999
19203.0	1256339999.9999995
19204.0	1383766874.9999998
19205.0	1020494999.9999999
19206.0	664270624.9999998
19207.0	841029999.9999998
19208.0	1031414374.9999998
19209.0	770564999.9999998
19210.0	492798999.9999998
19211.0	564766999.9999999
19212.0	688011312.4999998
19213.0	769179499.9999998
19214.0	804524687.4999998
19215.0	607007999.9999999
19216.0	466979312.4999999
19217.0	904740499.9999999
19218.0	1361345687.4999998
19219.0	1353224999.9999998
19220.0	1235249749.9999995
19221.0	922872999.9999998
19222.0	653277124.9999999
19223.0	834767999.9999998
19224.0	1064741624.9999998
19225.0	1134524999.9999998
19226.0	1173764999.9999998
19227.0	1189934999.9999998
19228.0	1144539937.4999995
19229.0	752824499.9999998
19230.0	395041874.99999994
19231.0	587176499.9999999
19232.0	833642499.9999999
19233.0	856179499.9999999
19234.0	845594812.4999998
19235.0	860208999.9999998
19236.0	867428499.9999999
19237.0	805080999.9999999
19238.0	745487499.9999998
19239.0	771984999.9999998
19240.0	783158249.9999999
19241.0	616294999.9999999
19242.0	469245124.9999999
19243.0	619111999.9999999
19244.0	842825562.4999998
19245.0	1212702499.9999998
19246.0	1516913624.9999998
19247.0	1280966499.9999995
19248.0	967593937.4999996
19249.0	729826999.9999998
19250.0	579047312.4999998
19251.0	874585499.9999999
19252.0	1178015687.5
19253.0	1082479999.9999998
19254.0	931025437.4999998
19255.0	843023499.9999998
19256.0	795327374.9999998
19257.0	926013499.9999998
19258.0	1030677874.9999995
19259.0	800829499.9999999
19260.0	582242875.0
19261.0	765739499.9999999
19262.0	979480937.4999998
19263.0	972607999.9999998
19264.0	921847124.9999999
19265.0	828372999.9999999
19266.0	714632124.9999999
19267.0	522003999.9999998
19268.0	386585124.9999999
19269.0	673308999.9999998
19270.0	1003746749.9999996
19271.0	1174324999.9999998
19272.0	1277426624.9999998
19273.0	1135528000.0
19274.0	968553999.9999998
19275.0	896127999.9999999
19276.0	850037562.4999998
19277.0	867412499.9999999
19278.0	912625624.9999999
19279.0	1061402499.9999999
19280.0	1214864687.4999998
19281.0	1292874999.9999998
19282.0	1334559374.9999995
19283.0	1233739999.9999998
19284.0	1120863750.0
19285.0	1078149999.9999998
19286.0	1060358124.9999999
19287.0	1121934999.9999998
19288.0	1193294374.9999995
19289.0	1243979999.9999998
19290.0	1249579312.4999998
19291.0	1005334499.9999998
19292.0	767747249.9999998
19293.0	819949499.9999998
19294.0	923117437.4999999
19295.0	1042289999.9999998
19296.0	1133935499.9999998
19297.0	1044413999.9999998
19298.0	953463249.9999999
19299.0	1035103999.9999998
19300.0	1131216749.9999998
19301.0	1141569999.9999998
19302.0	1107004062.4999998
19303.0	888682499.9999998
