# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
7000.0	30210122.749999993
7010.0	30911777.499999993
7020.0	32472384.99999999
7030.0	40482509.99999999
7040.0	35036872.49999999
7050.0	36479484.999999985
7060.0	19726732.499999996
7070.0	17952384.999999996
7080.0	25746814.999999993
7090.0	20128184.999999993
7100.0	19477312.499999996
7110.0	19050607.499999993
7120.0	22419649.999999996
7130.0	18794232.499999996
7140.0	16976712.499999996
7150.0	18339082.499999993
7160.0	20215007.499999993
7170.0	19205687.499999996
7180.0	22496017.499999996
7190.0	21708419.999999993
7200.0	23741637.499999993
7210.0	19657764.999999993
7220.0	24788362.499999996
7230.0	26622904.999999993
7240.0	25932557.499999993
7250.0	32331899.999999985
7260.0	32438144.999999993
7270.0	29716712.499999996
7280.0	33437922.499999996
7290.0	34613112.49999999
7300.0	50217924.999999985
7310.0	41059769.99999999
7320.0	48484372.49999999
7330.0	56672962.499999985
7340.0	41226827.499999985
7350.0	30417107.499999993
7360.0	35263554.999999985
7370.0	42997617.5
7380.0	38800802.49999999
7390.0	29724769.999999996
7400.0	31490479.999999996
7410.0	27920922.499999993
7420.0	22068797.499999996
7430.0	27304057.499999996
7440.0	28312872.499999993
7450.0	20615984.999999996
7460.0	23131559.999999993
7470.0	25289204.999999996
7480.0	24688509.999999993
7490.0	28405012.499999996
7500.0	33117257.499999996
7510.0	28227037.5
7520.0	29384192.499999996
7530.0	34992707.49999999
7540.0	36022214.999999985
7550.0	39463472.499999985
7560.0	46409847.49999999
7570.0	51883827.499999985
7580.0	45650034.99999999
7590.0	41330327.499999985
7600.0	34761904.999999985
7610.0	42472522.499999985
7620.0	52359374.999999985
7630.0	41295542.499999985
7640.0	44842072.499999985
7650.0	38570782.49999999
7660.0	35540414.5
7670.0	17928526.999999996
7680.0	36426434.99999999
7690.0	38516164.99999999
7700.0	21561229.999999996
7710.0	35712829.99999999
7720.0	39629984.99999999
7730.0	44464047.49999999
7740.0	55299557.499999985
7750.0	48589522.499999985
7760.0	46079479.99999999
7770.0	39283322.49999999
7780.0	45120489.99999999
7790.0	47213197.49999999
7800.0	56675369.99999999
7810.0	60454144.99999999
7820.0	64866664.99999999
7830.0	57031869.99999998
7840.0	50101377.499999985
7850.0	59405622.5
7860.0	59189612.5
7870.0	55327314.99999999
7880.0	74708614.99999999
7890.0	71093627.49999999
7900.0	65418974.99999999
7910.0	64986317.49999999
7920.0	56243004.999999985
7930.0	57591069.99999999
7940.0	56660764.99999999
7950.0	57176509.99999998
7960.0	70558229.99999999
7970.0	67956809.99999999
7980.0	69537392.49999999
7990.0	61918000.0
8000.0	63709484.99999998
8010.0	56988222.499999985
8020.0	66770820.0
8030.0	73047967.49999999
8040.0	81113272.49999999
8050.0	66543197.499999985
8060.0	66358209.99999999
8070.0	76892457.49999999
8080.0	90941369.99999999
8090.0	96424499.99999999
8100.0	113739622.49999999
8110.0	124060950.0
8120.0	140148127.5
8130.0	154301449.99999997
8140.0	182368874.99999994
8150.0	197443224.99999997
8160.0	212371074.99999997
8170.0	201591425.0
8180.0	236917674.99999997
8190.0	196835899.99999997
8200.0	146464629.99999997
8210.0	118899142.49999997
8220.0	180946039.99999997
8230.0	127284539.99999997
8240.0	185694717.49999997
8250.0	189439204.99999997
8260.0	159113099.99999994
8270.0	152100750.0
8280.0	148158184.99999997
8290.0	95549769.99999997
8300.0	108206987.49999997
