# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
7000.0	3.851318249999998e+16
7010.0	4.480375749999998e+16
7020.0	3.135193749999999e+16
7030.0	6.8455897499999976e+16
7040.0	4.942002749999998e+16
7050.0	9.013487499999998e+16
7060.0	1.3814877499999996e+16
7070.0	8143444499999998.0
7080.0	2.737639349999999e+16
7090.0	1.3561842249999994e+16
7100.0	8862482999999996.0
7110.0	9444103250000000.0
7120.0	1.4076444999999998e+16
7130.0	8905880499999999.0
7140.0	4642915999999999.0
7150.0	5456920249999999.0
7160.0	7520696749999998.0
7170.0	6880054749999999.0
7180.0	1.3676434249999996e+16
7190.0	1.1276707999999998e+16
7200.0	1.4189635249999994e+16
7210.0	5962680499999998.0
7220.0	1.5920174749999998e+16
7230.0	1.9360184999999996e+16
7240.0	1.6601915499999996e+16
7250.0	4.292816249999999e+16
7260.0	4.611164499999999e+16
7270.0	3.276016249999999e+16
7280.0	5.011251499999998e+16
7290.0	5.585630499999999e+16
7300.0	9.752597999999998e+16
7310.0	7.585237499999998e+16
7320.0	1.0758850249999997e+17
7330.0	9.527210249999998e+16
7340.0	1.0041302999999997e+17
7350.0	1.2199037749999995e+17
7360.0	1.1614189499999997e+17
7370.0	1.46448835e+17
7380.0	1.5096362499999997e+17
7390.0	1.7493877499999994e+17
7400.0	1.6145342499999994e+17
7410.0	1.4957314999999997e+17
7420.0	1.6055192499999994e+17
7430.0	1.8035117499999994e+17
7440.0	1.8992569999999997e+17
7450.0	1.3669770749999995e+17
7460.0	1.3663099499999997e+17
7470.0	1.3603082249999995e+17
7480.0	1.6870670499999997e+17
7490.0	1.6638572999999997e+17
7500.0	1.6176433499999997e+17
7510.0	1.8183367499999994e+17
7520.0	1.9055047499999997e+17
7530.0	1.6813442749999994e+17
7540.0	1.8239441749999997e+17
7550.0	1.8163347499999997e+17
7560.0	1.8945759999999997e+17
7570.0	2.0168867499999994e+17
7580.0	2.0219912499999994e+17
7590.0	1.2722524999999997e+17
7600.0	5.196322999999999e+16
7610.0	7.551177499999997e+16
7620.0	9.879300749999998e+16
7630.0	5.360729999999999e+16
7640.0	5.6118552499999976e+16
7650.0	3.1311459999999996e+16
7660.0	2.3217916749999996e+16
7670.0	1.0451262249999998e+16
7680.0	2.170402999999999e+16
7690.0	2.3957687499999996e+16
7700.0	1.3320808999999996e+16
7710.0	2.1972532999999996e+16
7720.0	2.8948419999999996e+16
7730.0	5.023737999999998e+16
7740.0	8.128440749999998e+16
7750.0	5.446441249999998e+16
7760.0	5.002673999999998e+16
7770.0	2.3184232499999996e+16
7780.0	4.727698249999998e+16
7790.0	5.4648627499999976e+16
7800.0	7.988810749999998e+16
7810.0	9.870543249999997e+16
7820.0	1.1398750499999998e+17
7830.0	9.256088999999998e+16
7840.0	6.152457499999998e+16
7850.0	9.302681999999997e+16
7860.0	9.353254249999998e+16
7870.0	8.939617749999998e+16
7880.0	1.1912107999999997e+17
7890.0	1.2829492499999997e+17
7900.0	1.2840222499999997e+17
7910.0	1.3456146499999997e+17
7920.0	1.0422202499999997e+17
7930.0	1.4444269499999997e+17
7940.0	1.2573746499999998e+17
7950.0	1.1172808999999997e+17
7960.0	1.7278619999999997e+17
7970.0	1.8010857499999997e+17
7980.0	1.9421107499999997e+17
7990.0	1.6624667499999994e+17
8000.0	1.7846087499999997e+17
8010.0	1.6058989999999997e+17
8020.0	2.0461724999999994e+17
8030.0	1.9726069999999997e+17
8040.0	2.1477049999999994e+17
8050.0	1.8310962499999997e+17
8060.0	1.9031992499999994e+17
8070.0	1.9487177499999994e+17
8080.0	2.1025414999999994e+17
8090.0	2.0482009999999997e+17
8100.0	2.2882362499999994e+17
8110.0	2.1893842499999994e+17
8120.0	2.5600109999999994e+17
8130.0	2.6535502499999997e+17
8140.0	2.4722232499999994e+17
8150.0	2.6292404999999994e+17
8160.0	2.5156917499999994e+17
8170.0	2.0345012499999994e+17
8180.0	1.7987343749999997e+17
8190.0	1.2277718499999998e+17
8200.0	1.2144830749999997e+17
8210.0	1.8000307499999997e+17
8220.0	2.1315467499999994e+17
8230.0	1.8777227499999994e+17
8240.0	2.1498010249999994e+17
8250.0	2.2246381749999994e+17
8260.0	2.1448172499999997e+17
8270.0	2.1195557499999997e+17
8280.0	2.0958942499999994e+17
8290.0	1.6735222499999997e+17
8300.0	1.8118773249999994e+17
8310.0	1.8240987249999997e+17
8320.0	1.7615362499999997e+17
8330.0	1.8083324999999997e+17
8340.0	1.9326664999999994e+17
8350.0	1.9614939999999994e+17
8360.0	1.9087337499999997e+17
8370.0	1.9438764999999994e+17
8380.0	1.9423329499999994e+17
8390.0	1.4985982499999997e+17
8400.0	1.8761447499999997e+17
8410.0	2.2485399999999994e+17
8420.0	1.9574969999999997e+17
8430.0	1.9636127249999997e+17
8440.0	9.259326749999998e+16
8450.0	7.920260249999998e+16
8460.0	6.869834499999998e+16
8470.0	7.221359749999998e+16
8480.0	9.112610749999998e+16
8490.0	6.541731e+16
8500.0	8.053415999999998e+16
8510.0	9.301555249999997e+16
8520.0	8.641952249999997e+16
8530.0	1.1639734249999997e+17
8540.0	1.0924976499999995e+17
8550.0	1.2869389999999997e+17
8560.0	1.4129834999999997e+17
8570.0	1.2852622749999997e+17
8580.0	1.5687219249999997e+17
8590.0	1.5323627499999997e+17
8600.0	1.5983024999999997e+17
8610.0	1.5389979999999994e+17
8620.0	1.7062477499999997e+17
8630.0	1.7633112499999997e+17
8640.0	1.7596822499999997e+17
8650.0	1.5892697499999997e+17
8660.0	1.8697242499999994e+17
8670.0	1.9960282499999997e+17
8680.0	1.8914409999999997e+17
8690.0	1.8154837499999997e+17
8700.0	1.3106514999999997e+17
8710.0	1.4067039999999995e+17
8720.0	1.3473759999999997e+17
8730.0	1.6291407499999997e+17
8740.0	1.4953893499999997e+17
8750.0	1.7491680499999994e+17
8760.0	2.1864707499999997e+17
8770.0	2.0709542499999994e+17
8780.0	2.1420267499999994e+17
8790.0	2.3325249999999994e+17
8800.0	1.7979662499999997e+17
8810.0	2.0390604999999994e+17
8820.0	2.4624637499999994e+17
8830.0	2.1682149999999994e+17
8840.0	2.3042559999999994e+17
8850.0	2.2498447499999994e+17
8860.0	1.7636306999999997e+17
8870.0	1.1666792249999995e+17
8880.0	1.0486452749999997e+17
8890.0	1.2422638999999998e+17
8900.0	1.4094214999999995e+17
8910.0	1.6192214999999997e+17
8920.0	9.335616499999998e+16
8930.0	1.6688631499999997e+17
