# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
14000.0	4.8794711569202246e+17
14001.0	4.967213291274252e+17
14002.0	5.0284232777400774e+17
14003.0	5.10352426218284e+17
14004.0	4.953240525340697e+17
14005.0	5.029251367567446e+17
14006.0	4.8499204061920954e+17
14007.0	4.5877173797518195e+17
14008.0	4.537032638464032e+17
14009.0	4.974594716860479e+17
14010.0	4.868332180209706e+17
14011.0	4.8080953813236474e+17
14012.0	5.0571567263907994e+17
14013.0	5.0758363528561216e+17
14014.0	4.9422209101331725e+17
14015.0	4.9911982131773466e+17
14016.0	4.9888573511433197e+17
14017.0	5.0327100242001216e+17
14018.0	4.541099288821827e+17
14019.0	4.9597214506351904e+17
14020.0	5.0731375782789734e+17
14021.0	5.040924740550672e+17
14022.0	4.8410237924803e+17
14023.0	5.0742140044574086e+17
14024.0	4.958217188671548e+17
14025.0	4.9122822282280435e+17
14026.0	4.7847045741935725e+17
14027.0	4.9656430948516736e+17
14028.0	5.1814769203609114e+17
14029.0	4.998953317695479e+17
14030.0	4.996651756290023e+17
14031.0	5.061941156380738e+17
14032.0	5.042652227567604e+17
14033.0	4.9550126397521466e+17
14034.0	5.045515574050722e+17
14035.0	5.128059464187908e+17
14036.0	4.81326040665301e+17
14037.0	4.942914153087008e+17
14038.0	5.061848101552062e+17
14039.0	5.0648486814678336e+17
14040.0	4.878843441577842e+17
14041.0	5.04346281875855e+17
14042.0	4.979653672435587e+17
14043.0	4.9056426785505235e+17
14044.0	4.557956964155414e+17
14045.0	4.580634437615501e+17
14046.0	4.90038795383603e+17
14047.0	5.1013608653455584e+17
14048.0	5.010623087771609e+17
14049.0	4.782123743445109e+17
14050.0	4.5771840605387955e+17
14051.0	4.976782797176815e+17
14052.0	5.0116538463681626e+17
14053.0	4.9633950108221875e+17
14054.0	4.9715667816939757e+17
14055.0	5.086852121886738e+17
14056.0	5.0390558090199046e+17
14057.0	4.8798984306688384e+17
14058.0	4.964405053751328e+17
14059.0	4.592378291683352e+17
14060.0	5.0336830775623834e+17
14061.0	5.091178261249949e+17
14062.0	5.02471293350701e+17
14063.0	4.98944899127713e+17
14064.0	5.062268777660432e+17
14065.0	5.045156344496185e+17
14066.0	4.8806907053343046e+17
14067.0	4.8198394367182426e+17
14068.0	4.9893533066199994e+17
14069.0	4.846253879853207e+17
14070.0	4.984568637554684e+17
14071.0	4.965321664364521e+17
14072.0	4.907342403469359e+17
14073.0	4.774991967027327e+17
14074.0	4.9734423108647264e+17
14075.0	4.920669951230017e+17
14076.0	4.9958099259227155e+17
14077.0	4.91920660889606e+17
14078.0	4.8857287732755686e+17
14079.0	4.9781649755342234e+17
14080.0	4.9201224771173677e+17
14081.0	4.923070540152773e+17
14082.0	4.9126357535294125e+17
14083.0	4.8681526765814496e+17
14084.0	4.8591162205798483e+17
14085.0	4.948242403950628e+17
14086.0	4.7550070479913254e+17
14087.0	4.631345422663564e+17
14088.0	4.818289238736764e+17
14089.0	4.822653823090688e+17
14090.0	4.7751858864783046e+17
14091.0	4.8947883482809606e+17
14092.0	4.993537129054148e+17
14093.0	4.743297046151153e+17
14094.0	4.954700222824444e+17
14095.0	4.639272871133146e+17
14096.0	4.926965765111807e+17
14097.0	4.938621131948121e+17
14098.0	4.9982530786427725e+17
14099.0	5.0263840742440954e+17
14100.0	5.092273171726301e+17
14101.0	4.9222100451328755e+17
14102.0	4.9606489999933e+17
14103.0	4.9511303668040365e+17
14104.0	4.8131020255393274e+17
14105.0	4.8203844865228384e+17
14106.0	4.772349576478647e+17
14107.0	4.5507891670548525e+17
14108.0	4.834503331676214e+17
14109.0	4.847712918831194e+17
14110.0	4.964297327247345e+17
14111.0	5.0553385711043e+17
14112.0	4.8927326443929664e+17
14113.0	4.744449506672679e+17
14114.0	4.837256435072992e+17
14115.0	4.834586118848449e+17
14116.0	4.925934482227182e+17
14117.0	4.69726594806588e+17
14118.0	4.900175562670127e+17
14119.0	4.880084657766416e+17
14120.0	4.941840889413706e+17
14121.0	4.892276278951773e+17
14122.0	4.642178349399993e+17
14123.0	4.565700358176594e+17
14124.0	4.6152796696741184e+17
14125.0	4.915859390726134e+17
14126.0	4.919595601231895e+17
14127.0	4.8159443627540045e+17
14128.0	4.869051679506352e+17
14129.0	4.925458013487035e+17
14130.0	4.9003122466489286e+17
14131.0	4.7461827440805005e+17
14132.0	5.0049073503273075e+17
14133.0	4.6923446076046656e+17
14134.0	4.5724943211561946e+17
14135.0	4.7850967793664646e+17
14136.0	4.8978166902947936e+17
14137.0	4.9591898016318054e+17
14138.0	4.9104529454530355e+17
14139.0	5.0247807218482246e+17
14140.0	4.9601816874188416e+17
14141.0	4.3777662040147565e+17
14142.0	4.6825611292835885e+17
14143.0	4.6692804738417126e+17
14144.0	4.9863822336328205e+17
14145.0	4.822466304147538e+17
14146.0	4.610880977240132e+17
14147.0	4.811709428531118e+17
14148.0	4.848088304844798e+17
14149.0	4.706628565729385e+17
14150.0	4.9113899907154246e+17
14151.0	4.965501474177061e+17
14152.0	4.8865778514002624e+17
14153.0	4.870662472597516e+17
14154.0	4.969213340942299e+17
14155.0	5.0200482215362816e+17
14156.0	4.851548249128928e+17
14157.0	4.927472441229335e+17
14158.0	4.9015409805884755e+17
14159.0	4.879013541576812e+17
14160.0	4.876613141397587e+17
14161.0	4.711676939075519e+17
14162.0	4.7818280030698874e+17
14163.0	4.600127708725225e+17
14164.0	4.82184696902449e+17
14165.0	4.938143904038989e+17
14166.0	4.919720776040395e+17
14167.0	4.812503846485983e+17
14168.0	4.897105143398481e+17
14169.0	4.6506222131609325e+17
14170.0	4.7964109940981306e+17
14171.0	4.6557973803172397e+17
14172.0	4.911828425506754e+17
14173.0	4.8721931544821715e+17
14174.0	4.791531760254974e+17
14175.0	4.687183365537878e+17
14176.0	4.556495203074188e+17
14177.0	4.659445137145646e+17
14178.0	4.805205916909467e+17
14179.0	4.884977598595049e+17
14180.0	4.63137948880074e+17
14181.0	4.8868900544185395e+17
14182.0	4.754784942817292e+17
14183.0	4.8136773749963955e+17
14184.0	4.825250718023714e+17
14185.0	4.768523091968049e+17
14186.0	4.705121212563523e+17
14187.0	4.954487592583158e+17
14188.0	4.774432820166521e+17
14189.0	4.3464292879562656e+17
14190.0	4.399345554161879e+17
14191.0	4.787042567323773e+17
14192.0	4.7487454554359686e+17
14193.0	4.887450790920139e+17
14194.0	4.738089360555882e+17
14195.0	4.7577276077834515e+17
14196.0	4.795809296023434e+17
14197.0	4.907170512502638e+17
14198.0	4.9062780946350586e+17
14199.0	4.9063689558425005e+17
14200.0	4.579589691015141e+17
14201.0	4.814078530813989e+17
14202.0	4.950593697218468e+17
14203.0	4.914461487923093e+17
14204.0	4.856299921604629e+17
14205.0	4.9404406923264326e+17
14206.0	4.635496139456464e+17
14207.0	4.8449747681279046e+17
14208.0	4.801957046779911e+17
14209.0	4.989596895018865e+17
14210.0	4.817406086086662e+17
14211.0	4.9243225021481024e+17
14212.0	4.950121292759066e+17
14213.0	4.865719732797394e+17
14214.0	4.881988557209618e+17
14215.0	4.599568134045688e+17
14216.0	4.735699819429936e+17
14217.0	4.832365473956011e+17
14218.0	4.931474042126207e+17
14219.0	4.6477600578602554e+17
14220.0	4.6854569229026125e+17
14221.0	4.930289973329835e+17
14222.0	4.813513092497493e+17
14223.0	4.8809729987707264e+17
14224.0	4.663623800586383e+17
14225.0	4.91694398321452e+17
14226.0	4.894617661079525e+17
14227.0	4.6521513725133286e+17
14228.0	4.690350354464819e+17
14229.0	4.957544359395297e+17
14230.0	4.9197953465713344e+17
14231.0	4.737134254620536e+17
14232.0	4.636831962365927e+17
14233.0	4.6142450607063334e+17
14234.0	4.814476591235036e+17
14235.0	4.695539543179311e+17
14236.0	4.7201706227793146e+17
14237.0	4.923789406109668e+17
14238.0	4.442658797781107e+17
14239.0	4.38943850325619e+17
14240.0	4.689703282409349e+17
14241.0	4.742275074621422e+17
14242.0	4.8006477863977376e+17
14243.0	4.673242937688202e+17
14244.0	4.70328666174274e+17
14245.0	4.798873021186065e+17
14246.0	4.864397868531632e+17
14247.0	4.859629750190131e+17
14248.0	4.826960521854854e+17
14249.0	4.818240060522542e+17
14250.0	4.6385494417737e+17
14251.0	4.644076242599953e+17
14252.0	4.736543776309283e+17
14253.0	4.7168154354320384e+17
14254.0	4.6530817362492346e+17
14255.0	4.7858981808372474e+17
14256.0	4.525791316541371e+17
14257.0	4.787026037571523e+17
14258.0	4.6342072843632435e+17
14259.0	4.6777760869251546e+17
14260.0	4.5734464868844525e+17
14261.0	4.5947218506548454e+17
14262.0	4.6054982549503904e+17
14263.0	4.444118298132407e+17
14264.0	4.63574354886653e+17
14265.0	4.7030285778289024e+17
14266.0	4.666126097186837e+17
14267.0	4.7748589698416506e+17
14268.0	4.669271804215212e+17
14269.0	4.65666639816301e+17
14270.0	4.671257740050482e+17
14271.0	4.5551952959899296e+17
14272.0	4.7332755326894586e+17
14273.0	4.6654259294372294e+17
14274.0	4.544555407900615e+17
14275.0	4.473777245126665e+17
14276.0	4.6090210760457325e+17
14277.0	4.688265844096878e+17
14278.0	4.7782122739466086e+17
14279.0	4.770948989321218e+17
14280.0	4.8004975128739974e+17
14281.0	4.744393680486353e+17
14282.0	4.714268100395056e+17
14283.0	4.785961212837946e+17
14284.0	4.473595870838913e+17
14285.0	4.6617391236380864e+17
14286.0	4.6842110594253344e+17
14287.0	4.7405221281791565e+17
14288.0	4.6274757200444576e+17
14289.0	4.279613190570082e+17
14290.0	4.410696515190996e+17
14291.0	4.768574753210309e+17
