# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
14000.0	6.530457822822388e+17
14001.0	6.37658436573598e+17
14002.0	6.44207196346779e+17
14003.0	6.527838853267456e+17
14004.0	6.538684354527238e+17
14005.0	6.547496914386944e+17
14006.0	6.542876565569533e+17
14007.0	6.523825084694464e+17
14008.0	6.47422311976133e+17
14009.0	6.539713028554755e+17
14010.0	6.528199575994374e+17
14011.0	6.520272391766025e+17
14012.0	6.53539569722981e+17
14013.0	6.517795424567323e+17
14014.0	6.539202451734527e+17
14015.0	6.537398594830336e+17
14016.0	6.523101886021597e+17
14017.0	6.523879132495887e+17
14018.0	6.484012168118326e+17
14019.0	6.532985541099508e+17
14020.0	6.537696818233343e+17
14021.0	6.537580690538495e+17
14022.0	6.518768473735091e+17
14023.0	6.529107743473667e+17
14024.0	6.518541217955813e+17
14025.0	6.532092607332351e+17
14026.0	6.528191355158527e+17
14027.0	6.527693495468008e+17
14028.0	6.533998876557311e+17
14029.0	6.53069305197363e+17
14030.0	6.526780584230911e+17
14031.0	6.495531031330848e+17
14032.0	6.524163015573494e+17
14033.0	6.525098584440832e+17
14034.0	6.526902097412093e+17
14035.0	6.512278383886351e+17
14036.0	6.503452834267149e+17
14037.0	6.520175448817664e+17
14038.0	6.516428794494977e+17
14039.0	6.520103122239489e+17
14040.0	6.503195593408529e+17
14041.0	6.519778155954173e+17
14042.0	6.49422033230236e+17
14043.0	6.498743255826412e+17
14044.0	6.474603480219676e+17
14045.0	6.478917212831767e+17
14046.0	6.51640233263104e+17
14047.0	6.513586876710916e+17
14048.0	6.514868354023423e+17
14049.0	6.493415810269204e+17
14050.0	6.504907737661413e+17
14051.0	6.490848917192728e+17
14052.0	6.511511082106877e+17
14053.0	6.511361144127488e+17
14054.0	6.510994322882559e+17
14055.0	6.511664841097216e+17
14056.0	6.509867611193343e+17
14057.0	6.491500875612172e+17
14058.0	6.499674655555594e+17
14059.0	6.467146322280431e+17
14060.0	6.491442604146698e+17
14061.0	6.497189790482442e+17
14062.0	6.504447366660096e+17
14063.0	6.458780510322735e+17
14064.0	6.487697212309509e+17
14065.0	6.465587802800177e+17
14066.0	6.500272348069887e+17
14067.0	6.445623272275997e+17
14068.0	6.455236705124335e+17
14069.0	6.459081254502409e+17
14070.0	6.462121063743506e+17
14071.0	6.473146358038548e+17
14072.0	6.471878575128596e+17
14073.0	6.457540732780556e+17
14074.0	6.464590867070986e+17
14075.0	6.462030118649815e+17
14076.0	6.490308430790634e+17
14077.0	6.454047989039131e+17
14078.0	6.489891881877498e+17
14079.0	6.487717911199747e+17
14080.0	6.480629088649213e+17
14081.0	6.458853717704703e+17
14082.0	6.476975275245583e+17
14083.0	6.4864697450496e+17
14084.0	6.469719850745869e+17
14085.0	6.432057387384813e+17
14086.0	6.44565170126849e+17
14087.0	6.456341921005491e+17
14088.0	6.464047553707926e+17
14089.0	6.47511464843674e+17
14090.0	6.443586635694085e+17
14091.0	6.468258903359505e+17
14092.0	6.480715965267945e+17
14093.0	6.472991844073473e+17
14094.0	6.479439680503807e+17
14095.0	6.435287605444637e+17
14096.0	6.476570239696892e+17
14097.0	6.476362441293824e+17
14098.0	6.475412787953664e+17
14099.0	6.469435376271361e+17
14100.0	6.474586572980211e+17
14101.0	6.420267660214284e+17
14102.0	6.471302260981754e+17
14103.0	6.456740497326098e+17
14104.0	6.455490242412547e+17
14105.0	6.458691628826637e+17
14106.0	6.438827677712398e+17
14107.0	6.434332319154159e+17
14108.0	6.424991302156308e+17
14109.0	6.46611390693376e+17
14110.0	6.464653253148672e+17
14111.0	6.462808350785539e+17
14112.0	6.462476547784704e+17
14113.0	6.440489020555284e+17
14114.0	6.458327827480576e+17
14115.0	6.42853045167713e+17
14116.0	6.460993001488381e+17
14117.0	6.448924172746757e+17
14118.0	6.451175427669998e+17
14119.0	6.44259116377702e+17
14120.0	6.434881592623076e+17
14121.0	6.442847788072969e+17
14122.0	6.433172099170312e+17
14123.0	6.419174763003916e+17
14124.0	6.430854372917276e+17
14125.0	6.399967602147338e+17
14126.0	6.410596522131493e+17
14127.0	6.380079407955916e+17
14128.0	6.382660700078053e+17
14129.0	6.41204320468994e+17
14130.0	6.446670871003128e+17
14131.0	6.394220029935663e+17
14132.0	6.430157032128522e+17
