# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
14000.0	7.347769509412826e+17
14001.0	6.28664724304731e+17
14002.0	6.937048795578318e+17
14003.0	7.375165612621827e+17
14004.0	7.42158051888335e+17
14005.0	7.451536456155136e+17
14006.0	7.431439968632837e+17
14007.0	7.371921410752333e+17
14008.0	7.15066852769775e+17
14009.0	7.396835626844168e+17
14010.0	7.32141007038057e+17
14011.0	6.978717674897454e+17
14012.0	7.312783653732297e+17
14013.0	7.347617625276489e+17
14014.0	7.43535754084352e+17
14015.0	7.434949619613699e+17
14016.0	7.392818070814625e+17
14017.0	7.400745649307676e+17
14018.0	7.220772896506067e+17
14019.0	7.43333119708361e+17
14020.0	7.449828502011905e+17
14021.0	7.452974624276479e+17
14022.0	7.389548552126252e+17
14023.0	7.41938438969754e+17
14024.0	7.383272942206889e+17
14025.0	7.442650839908353e+17
14026.0	7.440414562844672e+17
14027.0	7.433133712474035e+17
14028.0	7.448187413463039e+17
14029.0	7.445745514840063e+17
14030.0	7.403842505277466e+17
14031.0	7.324300969246826e+17
14032.0	7.428518392627162e+17
14033.0	7.413747144458262e+17
14034.0	7.440772932567037e+17
14035.0	7.393406707826732e+17
14036.0	7.350967087398963e+17
14037.0	7.41905264541696e+17
14038.0	7.413310106370058e+17
14039.0	7.423747396993034e+17
14040.0	7.374922426875956e+17
14041.0	7.428643617767425e+17
14042.0	7.347245020086331e+17
14043.0	7.33260803997692e+17
14044.0	7.218345761833062e+17
14045.0	7.129970342101169e+17
14046.0	7.42754791456768e+17
14047.0	7.411300413997074e+17
14048.0	7.425170683723775e+17
14049.0	7.365189879988287e+17
14050.0	7.409043945553839e+17
14051.0	7.343195193081919e+17
14052.0	7.419013789384705e+17
14053.0	7.426229225390081e+17
14054.0	7.427190014607357e+17
14055.0	7.428916314636284e+17
14056.0	7.425939969409024e+17
14057.0	7.369572348854314e+17
14058.0	7.391292023636e+17
14059.0	7.237149422256056e+17
14060.0	7.369263211872294e+17
14061.0	7.381549779517484e+17
14062.0	7.41709161535898e+17
14063.0	7.264307901366413e+17
14064.0	7.35449985738347e+17
14065.0	7.287307468013706e+17
14066.0	7.413753586909181e+17
14067.0	7.220469027569761e+17
14068.0	7.238417888837568e+17
14069.0	7.280499961626614e+17
14070.0	7.279368975941708e+17
14071.0	7.316604798894117e+17
14072.0	7.317754809942089e+17
14073.0	7.284481664745505e+17
14074.0	7.293218668412968e+17
14075.0	7.29291612487669e+17
14076.0	7.393234548424635e+17
14077.0	7.260736787054708e+17
14078.0	7.400082362073069e+17
14079.0	7.384518700826634e+17
14080.0	7.353279809847284e+17
14081.0	7.28209019004518e+17
14082.0	7.361431917821994e+17
14083.0	7.374697712844794e+17
14084.0	7.32171377154462e+17
14085.0	7.155730012438441e+17
14086.0	7.216039456669676e+17
14087.0	7.256211997064924e+17
14088.0	7.326694650150623e+17
14089.0	7.366311789199384e+17
14090.0	7.25332067038005e+17
14091.0	7.353236314914847e+17
14092.0	7.390757769969585e+17
14093.0	7.376528878862337e+17
14094.0	7.391979084185597e+17
14095.0	7.244860541108339e+17
14096.0	7.385645894860777e+17
14097.0	7.378369733722125e+17
14098.0	7.383407570976769e+17
14099.0	7.365054252974083e+17
14100.0	7.367258762379232e+17
14101.0	7.191147654938669e+17
14102.0	7.377169315528678e+17
14103.0	7.308880325378103e+17
14104.0	7.332798083891228e+17
14105.0	7.3464493522289e+17
