# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
14000.0	1.605285490091534e+18
14001.0	1.4066031416837238e+18
14002.0	1.6319377955617603e+18
14003.0	1.6816166806749192e+18
14004.0	1.6852049178132465e+18
14005.0	1.6827357729914908e+18
14006.0	1.6136754671124984e+18
14007.0	1.6120838562512858e+18
14008.0	1.4486591032525942e+18
14009.0	1.6665676378799357e+18
14010.0	1.599016609513458e+18
14011.0	1.3022768744366113e+18
14012.0	1.6690719066423224e+18
14013.0	1.680029391624593e+18
14014.0	1.62640398185925e+18
14015.0	1.6584684460834964e+18
14016.0	1.6814941096902595e+18
14017.0	1.6730017094434893e+18
14018.0	1.6807608950194191e+18
14019.0	1.683886928245557e+18
14020.0	1.6672069898993746e+18
14021.0	1.66584176240231e+18
14022.0	1.657675885366492e+18
14023.0	1.5976093701897697e+18
14024.0	1.583822993253999e+18
14025.0	1.6692987580907556e+18
14026.0	1.6578215082459274e+18
14027.0	1.670360880014948e+18
14028.0	1.627270429435511e+18
14029.0	1.652387470324548e+18
14030.0	1.3736554115630218e+18
14031.0	1.5427326141529375e+18
14032.0	1.6432535345036352e+18
14033.0	1.4898576987522376e+18
14034.0	1.6747395001876406e+18
14035.0	1.6478403481829228e+18
14036.0	1.6649888322289772e+18
14037.0	1.6502245533155223e+18
14038.0	1.6768085151186934e+18
14039.0	1.6365594521633073e+18
14040.0	1.6232163577954304e+18
14041.0	1.654098206130144e+18
14042.0	1.5772685686537856e+18
14043.0	1.4913066688840123e+18
14044.0	1.573097884457441e+18
14045.0	1.6223261167714227e+18
14046.0	1.6464606822137684e+18
14047.0	1.612888119076461e+18
14048.0	1.646376940417815e+18
14049.0	1.672276168671233e+18
14050.0	1.6670637946830904e+18
14051.0	1.5667164623143437e+18
14052.0	1.6387802153353219e+18
14053.0	1.6597092134813555e+18
14054.0	1.670619435368445e+18
14055.0	1.6716600623235044e+18
14056.0	1.671968934225508e+18
14057.0	1.6569232963666012e+18
14058.0	1.666588596817097e+18
14059.0	1.6617594580631603e+18
