# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
19000.0	4.563033942654992e+17
19001.0	4.526106073890751e+17
19002.0	4.567303105893714e+17
19003.0	4.5577840337005114e+17
19004.0	4.554565965840382e+17
19005.0	4.542376782943538e+17
19006.0	4.520248951351914e+17
19007.0	4.55821181775598e+17
19008.0	4.52828945728576e+17
19009.0	4.4902493359963955e+17
19010.0	4.386638440431472e+17
19011.0	4.530407963186587e+17
19012.0	4.5064281890924954e+17
19013.0	4.5531423211956864e+17
19014.0	4.5296122960281306e+17
19015.0	4.512628291753313e+17
19016.0	4.517039770522953e+17
19017.0	4.543012125627741e+17
19018.0	4.5402561910756525e+17
19019.0	4.5383253334425466e+17
19020.0	4.543008352851316e+17
19021.0	4.543280868666021e+17
19022.0	4.5446265132373523e+17
19023.0	4.530885948866527e+17
19024.0	4.516411825891958e+17
19025.0	4.5391873384120486e+17
19026.0	4.518521499287516e+17
19027.0	4.4925265893130016e+17
19028.0	4.5332763407373555e+17
19029.0	4.527063073554424e+17
19030.0	4.532301709617853e+17
19031.0	4.509765919746737e+17
19032.0	4.532409495541079e+17
19033.0	4.4975705942916506e+17
19034.0	4.5250933025669005e+17
19035.0	4.4899064614310944e+17
19036.0	4.050625197943458e+17
19037.0	4.487809972830182e+17
19038.0	4.519520066600937e+17
19039.0	4.528137194962958e+17
19040.0	4.529896677528923e+17
19041.0	4.525773210430114e+17
19042.0	4.4193117099784915e+17
19043.0	4.5316345007090304e+17
19044.0	4.527068966551545e+17
19045.0	4.526822844093783e+17
19046.0	4.492778587291607e+17
19047.0	4.4976211007023443e+17
19048.0	4.432166676419856e+17
19049.0	4.3328978068436506e+17
19050.0	4.4887218606571674e+17
19051.0	4.127069443194609e+17
19052.0	4.385200574999192e+17
19053.0	4.511652914047652e+17
19054.0	4.5172567621413626e+17
19055.0	4.399191189793845e+17
19056.0	4.4994548329349094e+17
19057.0	4.5186871714993466e+17
19058.0	4.430768128393072e+17
19059.0	4.4823859688024525e+17
19060.0	4.5034535159944435e+17
