# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
19000.0	5.3497090424176685e+17
19001.0	5.2925907309253946e+17
19002.0	5.351345236912802e+17
19003.0	5.347583373344757e+17
19004.0	5.337288727505597e+17
19005.0	5.3215814330176474e+17
19006.0	5.289356312969164e+17
19007.0	5.347612538437627e+17
19008.0	5.276893685219237e+17
19009.0	5.191742143856582e+17
19010.0	5.032061208712381e+17
19011.0	5.295809007102741e+17
19012.0	5.2392984146082624e+17
19013.0	5.338252651266029e+17
19014.0	5.28908531409433e+17
19015.0	5.286184459348751e+17
19016.0	5.280468015164037e+17
19017.0	5.329294049236332e+17
19018.0	5.319326907236327e+17
19019.0	5.312623402112313e+17
19020.0	5.3205869292858765e+17
19021.0	5.329977010552829e+17
19022.0	5.3286888440245414e+17
19023.0	5.296031072430684e+17
19024.0	5.283977647270474e+17
19025.0	5.3098111709129395e+17
19026.0	5.2670344102324435e+17
19027.0	5.187794287372932e+17
19028.0	5.3088964477364646e+17
19029.0	5.2955124774993805e+17
19030.0	5.3203094096663974e+17
19031.0	5.305102024485555e+17
19032.0	5.303433614240425e+17
19033.0	5.248702816627345e+17
19034.0	5.2744187249950534e+17
19035.0	5.1402976798965146e+17
19036.0	4.3344624017735974e+17
19037.0	5.1765225469596563e+17
19038.0	5.272261338595283e+17
19039.0	5.2996551691905914e+17
19040.0	5.31091894182435e+17
19041.0	5.2920137421946675e+17
19042.0	5.1776101229963296e+17
19043.0	5.3103662437061894e+17
19044.0	5.303054822451863e+17
19045.0	5.302787162243065e+17
19046.0	5.24509575293609e+17
19047.0	5.245996901946667e+17
19048.0	5.128908691210138e+17
19049.0	5.060995112937854e+17
19050.0	5.191277222734561e+17
19051.0	4.458243838093738e+17
19052.0	4.8871225474852755e+17
19053.0	5.251589902172152e+17
19054.0	5.245312267801956e+17
19055.0	5.113944114288047e+17
19056.0	5.245191466953428e+17
19057.0	5.2929537066925997e+17
19058.0	5.2029668633257056e+17
19059.0	5.264080075314506e+17
19060.0	5.271228350726107e+17
19061.0	5.302958243009876e+17
19062.0	5.2912106049808864e+17
19063.0	5.2940549337907194e+17
19064.0	5.1952484331029446e+17
19065.0	5.141868412491202e+17
19066.0	5.207590148156034e+17
19067.0	5.279784687544979e+17
19068.0	5.2922671270898304e+17
19069.0	5.295347046460073e+17
19070.0	5.259552264028108e+17
19071.0	5.278258141244108e+17
19072.0	5.256681660699956e+17
19073.0	5.279545474504008e+17
19074.0	5.292740132732928e+17
19075.0	5.28851435956907e+17
19076.0	5.22278467989226e+17
19077.0	5.270295537516494e+17
19078.0	5.227623242967641e+17
19079.0	5.2790756691148883e+17
19080.0	5.266821906519417e+17
19081.0	5.2231872317139066e+17
19082.0	5.210231906063715e+17
19083.0	5.1653983523743206e+17
19084.0	5.2056898383380454e+17
19085.0	5.176407517473459e+17
19086.0	5.022840534684941e+17
19087.0	4.98576407081775e+17
19088.0	5.038432406820028e+17
19089.0	5.089573252803187e+17
19090.0	5.1888174682603654e+17
19091.0	5.217106732428055e+17
19092.0	5.115328473683464e+17
19093.0	5.253918961434617e+17
19094.0	5.262881434107916e+17
19095.0	5.262181595611141e+17
19096.0	5.2475553109769786e+17
19097.0	5.2636536655926694e+17
19098.0	5.225844206556465e+17
19099.0	5.2149660568344704e+17
19100.0	5.2259325553759366e+17
19101.0	5.234142632826202e+17
19102.0	5.15104897638935e+17
19103.0	5.2522469308060915e+17
19104.0	5.259650158384475e+17
19105.0	5.172555398075974e+17
19106.0	5.220956249959078e+17
19107.0	5.2113505940492954e+17
19108.0	5.222821475123212e+17
19109.0	5.094374062249053e+17
19110.0	5.251130796452519e+17
19111.0	5.224824385306585e+17
19112.0	5.1837473956821997e+17
19113.0	5.246158081359866e+17
19114.0	5.2242168319835923e+17
19115.0	5.129363789971646e+17
19116.0	5.188936584396753e+17
19117.0	5.184061301587973e+17
19118.0	4.9487604648072506e+17
19119.0	3.816650038050093e+17
19120.0	5.019840954411643e+17
19121.0	5.136771640371835e+17
19122.0	5.2192936376401946e+17
19123.0	5.221373160281439e+17
19124.0	5.198416900521975e+17
19125.0	5.193014894919689e+17
19126.0	5.1063290645708563e+17
19127.0	4.368965596523208e+17
19128.0	5.077983384218253e+17
19129.0	5.131292985961019e+17
19130.0	5.20923737506885e+17
19131.0	5.224976344241483e+17
19132.0	5.222621868195827e+17
19133.0	5.1807118471550426e+17
19134.0	5.218061903375e+17
19135.0	5.213369277612033e+17
19136.0	5.194903187357699e+17
19137.0	5.10178318911626e+17
19138.0	5.190574024600231e+17
19139.0	5.225554393432068e+17
19140.0	5.226323265279314e+17
19141.0	5.223649473374889e+17
19142.0	5.181481531998189e+17
19143.0	5.1668847843519597e+17
