# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
19000.0	6.0277384558237e+17
19001.0	6.026591282921471e+17
19002.0	6.025476627759104e+17
19003.0	6.024345564479487e+17
19004.0	6.023214494908415e+17
19005.0	6.022084503273471e+17
19006.0	6.020954071236607e+17
19007.0	6.019799089938431e+17
19008.0	6.018682808784212e+17
19009.0	6.017560169065129e+17
19010.0	6.016350693971284e+17
19011.0	6.015299075702783e+17
19012.0	6.014132852271786e+17
19013.0	6.013042720505855e+17
19014.0	6.011903939706879e+17
19015.0	6.01077867295539e+17
19016.0	6.009647876014077e+17
19017.0	6.008511072829439e+17
19018.0	6.007394836414463e+17
19019.0	6.006268978266112e+17
19020.0	6.005131660580179e+17
19021.0	6.004008098114218e+17
19022.0	6.002887105358506e+17
19023.0	6.0017519624192e+17
19024.0	6.000626376201556e+17
19025.0	5.999502048974163e+17
19026.0	5.998368399906131e+17
19027.0	5.997223088575827e+17
19028.0	5.996120444502015e+17
19029.0	5.994992888359593e+17
19030.0	5.993869029496148e+17
19031.0	5.992742536609791e+17
19032.0	5.991615800453801e+17
19033.0	5.990475422324052e+17
19034.0	5.989361609517737e+17
19035.0	5.988232332312576e+17
19036.0	5.985095954814292e+17
19037.0	5.98598539612433e+17
19038.0	5.984858022434131e+17
19039.0	5.983737061834752e+17
19040.0	5.982612225698473e+17
19041.0	5.981487553140051e+17
19042.0	5.980347940470783e+17
19043.0	5.979238839265961e+17
19044.0	5.978114335178751e+17
19045.0	5.976990799975764e+17
19046.0	5.975858718179328e+17
19047.0	5.974743347189076e+17
19048.0	5.973584844073641e+17
19049.0	5.972485575016447e+17
19050.0	5.97136706179345e+17
19051.0	5.969947506595155e+17
19052.0	5.969113768438442e+17
19053.0	5.967999980797951e+17
19054.0	5.966884104394068e+17
19055.0	5.965720447877119e+17
19056.0	5.964636594285225e+17
19057.0	5.963516896171348e+17
19058.0	5.962389095361194e+17
19059.0	5.961276129105236e+17
19060.0	5.960151022436351e+17
19061.0	5.95903429808401e+17
19062.0	5.957912931336191e+17
19063.0	5.956793011623252e+17
