# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
19000.0	8.130534672695292e+17
19001.0	8.078824540121715e+17
19002.0	8.129543084703739e+17
19003.0	8.125136709702995e+17
19004.0	8.124315006402557e+17
19005.0	8.120273835043494e+17
19006.0	8.118697169605964e+17
19007.0	8.116182311064925e+17
19008.0	8.088051730699594e+17
19009.0	8.050257306146115e+17
19010.0	7.934875466202973e+17
19011.0	8.095215211861329e+17
19012.0	8.05526461446e+17
19013.0	8.104806125491526e+17
19014.0	8.07160521459842e+17
19015.0	8.083285847922079e+17
19016.0	8.084881562490194e+17
19017.0	8.09242630308933e+17
19018.0	8.093131316658168e+17
19019.0	8.091645327878825e+17
19020.0	8.084695496174289e+17
19021.0	8.094842863921828e+17
19022.0	8.092211097545414e+17
19023.0	8.068865998542118e+17
19024.0	8.079894189703133e+17
19025.0	8.083801273357651e+17
19026.0	8.075541807977811e+17
19027.0	8.071075432060238e+17
19028.0	8.082347717733019e+17
19029.0	8.072115619452233e+17
19030.0	8.085812478476283e+17
19031.0	8.086340359596717e+17
19032.0	8.08313192395571e+17
19033.0	8.03136910113716e+17
19034.0	8.065851885005478e+17
19035.0	8.019104768895615e+17
19036.0	7.298697690524407e+17
19037.0	8.038007097524207e+17
19038.0	8.05700860746135e+17
19039.0	8.06945560304025e+17
19040.0	8.071461916202327e+17
19041.0	8.068133734580212e+17
19042.0	8.021088527886977e+17
19043.0	8.067710098691407e+17
19044.0	8.061608030896115e+17
19045.0	8.06459680244804e+17
19046.0	8.032102050168819e+17
19047.0	8.042572190580708e+17
19048.0	7.972910383759287e+17
19049.0	8.01514384156256e+17
19050.0	8.02429647139639e+17
19051.0	7.837602052833151e+17
19052.0	7.98200753413597e+17
19053.0	8.047934623623846e+17
19054.0	8.047130118367928e+17
19055.0	7.924880839628508e+17
19056.0	8.033577908305956e+17
19057.0	8.043665853950624e+17
19058.0	8.036865498851992e+17
19059.0	8.040598232279726e+17
19060.0	8.033859105630883e+17
19061.0	8.042516797805908e+17
19062.0	8.036632315123021e+17
19063.0	8.036739760608594e+17
19064.0	7.97717112413668e+17
19065.0	7.939486948261939e+17
19066.0	7.998301980153128e+17
19067.0	8.025202650775542e+17
19068.0	8.030356702407332e+17
19069.0	8.029786489574739e+17
19070.0	8.014326125647172e+17
19071.0	8.024092815567539e+17
19072.0	8.025794643230719e+17
19073.0	8.021111736369148e+17
19074.0	8.02413335211759e+17
19075.0	8.022549504633514e+17
19076.0	8.013018912085326e+17
19077.0	8.01104814564965e+17
19078.0	7.996178724203153e+17
19079.0	8.01498624198793e+17
19080.0	8.005900206516911e+17
19081.0	7.985788159524841e+17
19082.0	7.993144494784508e+17
19083.0	7.94182275336323e+17
19084.0	7.887567251483438e+17
19085.0	7.995986732733792e+17
19086.0	7.822812716029318e+17
19087.0	7.976147205051745e+17
19088.0	7.948171893626163e+17
19089.0	7.890064699468691e+17
19090.0	7.97407387530036e+17
19091.0	7.979846775515866e+17
19092.0	7.955607610283382e+17
19093.0	7.989719128342524e+17
19094.0	7.9904494307683e+17
19095.0	7.991067444685478e+17
19096.0	7.983250230913699e+17
19097.0	7.986639678734336e+17
19098.0	7.983846311417166e+17
19099.0	7.982210165156538e+17
19100.0	7.980138401278633e+17
19101.0	7.978174042341371e+17
19102.0	7.937798746494239e+17
19103.0	7.97545405996509e+17
19104.0	7.97785090617071e+17
19105.0	7.971125237645321e+17
19106.0	7.968005519922519e+17
19107.0	7.960000900453706e+17
19108.0	7.96055831926101e+17
19109.0	7.877388338375292e+17
19110.0	7.940689761402875e+17
19111.0	7.961172189205842e+17
19112.0	7.963350218571773e+17
19113.0	7.962235557117951e+17
19114.0	7.957421091717119e+17
19115.0	7.934630535626774e+17
19116.0	7.943997713896767e+17
19117.0	7.941006442539688e+17
19118.0	7.898470754374986e+17
19119.0	7.262191360496214e+17
19120.0	7.919753449788748e+17
19121.0	7.938515018973175e+17
19122.0	7.948389970870271e+17
19123.0	7.945108091568133e+17
19124.0	7.93290560993142e+17
19125.0	7.935774646687059e+17
19126.0	7.9068400797614e+17
19127.0	7.381238943842331e+17
19128.0	7.870171034506538e+17
19129.0	7.884030018759254e+17
19130.0	7.924235734701402e+17
19131.0	7.932284090974203e+17
19132.0	7.929298227473064e+17
19133.0	7.88794660810478e+17
19134.0	7.913710254642536e+17
19135.0	7.925329558852956e+17
19136.0	7.923226116795052e+17
19137.0	7.858064176010582e+17
19138.0	7.912907526373381e+17
19139.0	7.922209746059263e+17
19140.0	7.922299087530662e+17
19141.0	7.920632311666003e+17
