# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
9000.0	108686881.34765624
9010.0	134457531.73828122
9020.0	119973177.24609372
9030.0	111065912.10937499
9040.0	100189785.64453124
9050.0	142314550.29296872
9060.0	135637716.30859372
9070.0	132489496.09374999
9080.0	223958555.66406247
9090.0	189682648.92578122
9100.0	167583342.28515622
9110.0	190223674.80468747
9120.0	239087199.21874994
9130.0	235750732.42187497
9140.0	218057006.83593747
9150.0	253034761.23046872
9160.0	282750739.7460937
9170.0	280199836.91406244
9180.0	256547415.03906247
9190.0	315168802.73437494
9200.0	271633955.07812494
9210.0	179643647.94921872
9220.0	133716188.47656247
9230.0	111861345.45898436
9240.0	93089056.39648436
9250.0	106735539.3066406
9260.0	105654354.24804686
9270.0	111664125.48828122
9280.0	90321517.33398436
9290.0	93053234.13085936
9300.0	88050489.25781249
9310.0	85232098.63281249
9320.0	97585858.64257811
9330.0	88995204.34570311
9340.0	121582639.8925781
9350.0	102447727.7832031
9360.0	106529433.59374999
9370.0	100521632.81249997
9380.0	118236079.10156249
9390.0	112769435.54687497
9400.0	130943986.81640622
9410.0	129133749.99999997
9420.0	169677001.46484372
9430.0	159232964.35546872
9440.0	141359957.03124997
9450.0	137017745.11718747
9460.0	171953368.65234372
9470.0	139528638.18359372
9480.0	186542005.85937494
9490.0	231992789.06249997
9500.0	169743199.7070312
9510.0	176469032.22656244
9520.0	214859910.64453122
9530.0	207900767.57812497
9540.0	248249949.21874997
9550.0	215030695.31249994
9560.0	226275803.71093747
9570.0	231147701.17187497
9580.0	307243808.59374994
9590.0	289506779.29687494
9600.0	252769902.34374994
9610.0	290913891.60156244
9620.0	250096778.32031247
9630.0	329153780.27343744
9640.0	256607558.59374994
9650.0	302690952.14843744
9660.0	334361531.2499999
9670.0	355684396.48437494
9680.0	352261948.24218744
9690.0	357408922.85156244
9700.0	380683824.21874994
9710.0	336775945.3124999
9720.0	367800337.89062494
9730.0	256813889.64843747
9740.0	243033626.95312494
9750.0	246917481.44531247
9760.0	272697220.70312494
9770.0	248380417.96874997
9780.0	275278083.98437494
9790.0	304236161.13281244
9800.0	309348167.96874994
9810.0	274716245.11718744
9820.0	223083803.71093747
9830.0	236462281.24999997
9840.0	270788999.02343744
9850.0	271256994.14062494
