# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
9000.0	208922780.27343744
9010.0	276857116.21093744
9020.0	236254418.94531247
9030.0	230393580.07812497
9040.0	184825667.48046872
9050.0	270909533.6914062
9060.0	271956671.87499994
9070.0	257324522.46093747
9080.0	438355564.4531249
9090.0	358019408.6914062
9100.0	314276535.6445312
9110.0	364405271.4843749
9120.0	431597259.7656249
9130.0	431627142.5781249
9140.0	414456814.4531249
9150.0	452908395.50781244
9160.0	491955047.8515624
9170.0	482819701.1718749
9180.0	468619933.59374994
9190.0	534707837.89062494
9200.0	483966339.84374994
9210.0	323313937.49999994
9220.0	254155854.0039062
9230.0	203681844.23828122
9240.0	152960257.32421872
9250.0	196854207.51953122
9260.0	186492580.07812497
9270.0	194993497.5585937
9280.0	140705128.90624997
9290.0	151808398.43749997
9300.0	142226709.96093747
9310.0	134597717.28515622
9320.0	167591499.02343747
9330.0	142712673.33984372
9340.0	221566024.41406244
9350.0	187225693.35937497
9360.0	186182878.90624997
9370.0	170947799.3164062
9380.0	206950651.85546872
9390.0	197171520.50781247
9400.0	242822846.67968747
9410.0	230461799.80468747
9420.0	312411295.89843744
9430.0	292011738.28124994
9440.0	258346833.00781244
9450.0	243373187.49999994
9460.0	312992387.69531244
9470.0	249275635.74218747
9480.0	328339545.89843744
9490.0	412865048.82812494
9500.0	316300753.90624994
9510.0	325176019.53124994
9520.0	381578728.5156249
9530.0	369367056.64062494
9540.0	433982037.10937494
9550.0	381889855.46874994
9560.0	398282957.0312499
9570.0	419546673.8281249
9580.0	509893035.1562499
9590.0	499077935.54687494
9600.0	443303042.96874994
9610.0	500866912.1093749
9620.0	432807253.9062499
9630.0	548260900.3906249
9640.0	432984176.75781244
9650.0	501742417.96874994
9660.0	550992191.4062499
9670.0	574591140.6249999
9680.0	560717291.0156249
9690.0	588169466.7968749
9700.0	607944001.9531249
9710.0	550940203.1249999
9720.0	602056464.8437499
9730.0	435361916.01562494
9740.0	423578003.90624994
9750.0	437681820.3124999
9760.0	461085388.6718749
9770.0	416901092.7734374
9780.0	467802554.68749994
9790.0	505227658.20312494
9800.0	516457595.7031249
9810.0	467655951.1718749
9820.0	391204052.73437494
9830.0	412900113.28124994
9840.0	466596220.70312494
9850.0	458802664.0624999
9860.0	485983171.8749999
9870.0	517424314.4531249
9880.0	472554177.7343749
9890.0	570948624.9999999
9900.0	340917877.68554676
9910.0	198823525.14648435
9920.0	234831129.3945312
9930.0	276119261.2304687
9940.0	334694771.9726562
9950.0	361978412.10937494
9960.0	375984357.42187494
9970.0	439164597.6562499
9980.0	413047599.60937494
9990.0	300493333.00781244
10000.0	377242935.3027343
10010.0	373504980.46874994
10020.0	393215935.5468749
10030.0	439209428.71093744
10040.0	361748845.2148437
10050.0	432852573.73046863
10060.0	337912980.46874994
10070.0	398168173.82812494
10080.0	464152031.73828113
10090.0	418356572.26562494
10100.0	499073945.3124999
10110.0	423874977.78320307
10120.0	483412715.0878905
10130.0	556292013.6718749
10140.0	386589611.32812494
10150.0	477085960.4492187
10160.0	424210361.32812494
10170.0	417657245.1171874
10180.0	520856328.1249999
10190.0	436304974.6093749
10200.0	468541959.96093744
10210.0	538596235.8398436
10220.0	425033544.6777343
10230.0	535720482.9101562
10240.0	571136206.7871093
10250.0	497029022.9492187
10260.0	366497716.06445307
10270.0	386825978.51562494
10280.0	374679593.01757807
10290.0	433041741.45507807
10300.0	410156311.76757807
10310.0	525187638.18359363
10320.0	443458811.5234374
10330.0	454949217.7734374
10340.0	480290607.9101562
10350.0	490206336.4257812
10360.0	561089167.4804686
10370.0	557963749.0234374
10380.0	499975693.3593749
10390.0	533779306.1523437
10400.0	519217998.0468749
10410.0	616781865.7226561
10420.0	522814797.36328113
10430.0	447763686.52343744
10440.0	634653954.1015624
10450.0	654818421.8749999
10460.0	694732313.4765624
10470.0	439556288.0859374
10480.0	550313714.3554686
10490.0	643857463.3789061
10500.0	600897971.1914061
10510.0	561781448.2421874
10520.0	481473961.91406244
10530.0	669290265.6249999
10540.0	673187993.1640624
10550.0	656286871.0937499
10560.0	589290251.9531249
10570.0	531548315.4296874
10580.0	707975733.3984373
10590.0	665643327.6367186
10600.0	713310431.6406249
10610.0	604074615.2343749
10620.0	622135310.5468749
10630.0	683673468.7499999
10640.0	793436430.6640624
10650.0	731605085.9374999
10660.0	670626696.2890624
10670.0	604680712.8906249
10680.0	665505390.6249999
10690.0	743665979.4921874
10700.0	696968228.5156248
10710.0	704558735.3515624
10720.0	803315070.3124999
10730.0	711510591.7968748
10740.0	786691589.8437499
