# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
19000.0	1.2084462551039998e+16
19001.0	1.4930654330879998e+16
19002.0	1.3695104122879998e+16
19003.0	1.4217737338879998e+16
19004.0	1.0234558054399998e+16
19005.0	1.1490393948159998e+16
19006.0	8821492940799998.0
19007.0	1.2082969640959998e+16
19008.0	1.3181843210239998e+16
19009.0	1.3131452579839998e+16
19010.0	1.2986058670079998e+16
19011.0	1.0567018577919998e+16
19012.0	1.0309544673279998e+16
19013.0	1.1970043903999998e+16
19014.0	1.0271539527679998e+16
19015.0	1.0189425213439998e+16
19016.0	1.0083477749759998e+16
19017.0	1.3048493178879998e+16
19018.0	1.3887265505279998e+16
19019.0	1.3366291005439998e+16
19020.0	1.0643117342719998e+16
19021.0	1.2858533969919998e+16
19022.0	1.4151138672639998e+16
19023.0	1.1413356543999998e+16
19024.0	1.3568693370879998e+16
19025.0	1.3294313799679998e+16
19026.0	1.2194716221439998e+16
19027.0	1.2283295662079998e+16
19028.0	1.2083545538559998e+16
19029.0	1.0038752542719998e+16
19030.0	8688797122559998.0
19031.0	1.1484799795199998e+16
19032.0	1.2622405304319998e+16
19033.0	1.1156569128959998e+16
19034.0	1.2891054735359998e+16
19035.0	1.4552508661759998e+16
19036.0	1.3225243115519998e+16
19037.0	1.0630658949119998e+16
19038.0	1.1405404897279998e+16
19039.0	1.0992690135039998e+16
19040.0	1.0129321492479998e+16
19041.0	1.1464733491199998e+16
19042.0	1.2046410055679998e+16
19043.0	1.2939792875519998e+16
19044.0	1.3439294832639998e+16
19045.0	1.1511809638399998e+16
19046.0	1.0963679805439998e+16
19047.0	1.1071079546879998e+16
19048.0	1.3310001479679998e+16
19049.0	1.2718335590399998e+16
19050.0	1.5054326005759998e+16
19051.0	1.3295958097919998e+16
19052.0	1.1030782607359998e+16
19053.0	1.1008458588159998e+16
19054.0	9192260075519998.0
19055.0	1.2572985589759998e+16
19056.0	1.2366848655359998e+16
19057.0	1.0284483215359998e+16
19058.0	1.3541532631039998e+16
19059.0	1.1255764418559998e+16
19060.0	1.1188233830399998e+16
19061.0	8945529651199998.0
19062.0	9055075532799998.0
19063.0	1.1071818137599998e+16
19064.0	1.2007836221439998e+16
19065.0	1.3236333117439998e+16
19066.0	1.2774781419519998e+16
19067.0	9762111160319998.0
19068.0	1.0827144888319998e+16
19069.0	1.0217787883519998e+16
19070.0	9291561041919998.0
19071.0	1.2033430487039998e+16
19072.0	1.0925476904959998e+16
19073.0	1.2736781680639998e+16
19074.0	1.0686905384959998e+16
19075.0	1.4042889584639998e+16
19076.0	1.3028921507839998e+16
19077.0	1.2503681761279998e+16
19078.0	1.2819742883839998e+16
19079.0	1.0524050063359998e+16
19080.0	1.2264339701759998e+16
19081.0	1.2843074027519998e+16
19082.0	1.4877590814719998e+16
19083.0	1.2931115581439998e+16
19084.0	1.2675190620159998e+16
19085.0	1.2230871285759998e+16
19086.0	1.1712618823679998e+16
19087.0	1.3813696102399998e+16
19088.0	1.2964169973759998e+16
19089.0	1.0435892346879998e+16
19090.0	1.1865434030079998e+16
19091.0	1.2410024755199998e+16
19092.0	1.2756427735039998e+16
19093.0	1.2372151828479998e+16
19094.0	1.1595117035519998e+16
19095.0	1.1643195228159998e+16
19096.0	1.1050486824959998e+16
19097.0	1.0343860633599998e+16
19098.0	1.3620227604479998e+16
19099.0	1.2798112235519998e+16
19100.0	1.2732871802879998e+16
19101.0	1.2435168296959998e+16
19102.0	1.1086168063999998e+16
19103.0	1.0240447283199998e+16
19104.0	1.3677984808959998e+16
19105.0	1.2478268702719998e+16
19106.0	9927523041279998.0
19107.0	1.1079956234239998e+16
19108.0	1.2222020321279998e+16
19109.0	1.2314388725759998e+16
19110.0	1.1721344778239998e+16
19111.0	1.0452230963199998e+16
19112.0	1.0394447380479998e+16
19113.0	1.1278251130879998e+16
19114.0	9159067893759998.0
19115.0	1.0703485665279998e+16
19116.0	9233720279039998.0
19117.0	8822780067839998.0
19118.0	1.1929560023039998e+16
19119.0	1.3606348390399998e+16
19120.0	1.1282099404799998e+16
19121.0	1.0825345597439998e+16
19122.0	1.2967723663359998e+16
19123.0	1.4533135237119998e+16
19124.0	1.4020708270079998e+16
19125.0	1.1663947694079998e+16
19126.0	1.1912288501759998e+16
19127.0	1.0692480860159998e+16
19128.0	1.2045924106239998e+16
19129.0	1.3464847974399998e+16
19130.0	1.5415236362239998e+16
19131.0	1.3745061560319998e+16
19132.0	1.2793090211839998e+16
19133.0	1.1515588607999998e+16
19134.0	1.1347436011519998e+16
19135.0	1.2804595056639998e+16
19136.0	1.0403231825919998e+16
19137.0	9685160755199998.0
19138.0	1.0642385469439998e+16
19139.0	1.4367043747839998e+16
19140.0	1.3587373424639998e+16
19141.0	1.5092851015679998e+16
19142.0	1.3609415475199998e+16
19143.0	1.1242109501439998e+16
19144.0	1.0955758796799998e+16
19145.0	1.1616678707199998e+16
19146.0	1.3175730995199998e+16
19147.0	1.3245051043839998e+16
19148.0	1.1718069780479998e+16
19149.0	1.1206168412159998e+16
19150.0	1.3832942059519998e+16
19151.0	1.2473427558399998e+16
19152.0	1.3570117468159998e+16
19153.0	1.2378860748799998e+16
19154.0	1.2961232650239998e+16
19155.0	1.2698886471679998e+16
19156.0	1.3088591708159998e+16
19157.0	1.3591969791999998e+16
19158.0	1.3222062817279998e+16
19159.0	1.1004120432639998e+16
19160.0	1.0408925265919998e+16
19161.0	1.0574723153919998e+16
19162.0	9227281367039998.0
19163.0	1.1979254005759998e+16
19164.0	1.0924057559039998e+16
19165.0	9936261775359998.0
19166.0	1.0783639306239998e+16
19167.0	9861674762239998.0
19168.0	1.2859430666239998e+16
19169.0	1.1045683527679998e+16
19170.0	1.1752094760959998e+16
19171.0	1.1466669096959998e+16
19172.0	1.1824206970879998e+16
19173.0	1.2415848611839998e+16
19174.0	1.1328802652159998e+16
19175.0	1.1259813560319998e+16
19176.0	1.2295910850559998e+16
19177.0	1.2518157844479998e+16
19178.0	1.2764469329919998e+16
19179.0	1.1791370977279998e+16
19180.0	1.2043325931519998e+16
19181.0	9565988454399998.0
19182.0	1.1612406579199998e+16
19183.0	1.1873011302399998e+16
19184.0	1.2120015011839998e+16
19185.0	1.2083334840319998e+16
19186.0	1.2254763745279998e+16
19187.0	1.4454412083199998e+16
19188.0	1.4430571397119998e+16
