# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
19000.0	156430332.03124997
19001.0	211479038.08593747
19002.0	182151333.00781247
19003.0	211879897.46093747
19004.0	120712451.17187499
19005.0	153775039.06249997
19006.0	98199216.30859374
19007.0	158563886.71874997
19008.0	180950131.83593747
19009.0	178506145.01953122
19010.0	182564768.06640622
19011.0	138197001.95312497
19012.0	131004443.35937497
19013.0	153707297.36328122
19014.0	123320151.36718747
19015.0	132921643.06640622
19016.0	131304406.73828122
19017.0	177244294.43359372
19018.0	181356982.42187497
19019.0	183358535.15624997
19020.0	137961206.05468747
19021.0	187041445.31249997
19022.0	213166992.18749997
19023.0	140685144.04296872
19024.0	175487097.16796872
19025.0	172011259.76562497
19026.0	151194135.74218747
19027.0	151169399.41406247
19028.0	153057414.55078122
19029.0	119248803.71093749
19030.0	96773962.40234374
19031.0	145687675.78124997
19032.0	183950390.62499997
19033.0	136019106.44531247
19034.0	165468305.66406247
19035.0	196869384.76562497
19036.0	172293474.12109372
19037.0	129798312.98828122
19038.0	146452841.79687497
19039.0	145216269.53124997
19040.0	127651713.86718747
19041.0	148748901.36718747
19042.0	156460556.64062497
19043.0	180189104.00390622
19044.0	185819897.46093747
19045.0	136508688.96484372
19046.0	130495422.36328122
19047.0	139449348.14453122
19048.0	186011030.27343747
19049.0	177686645.50781247
19050.0	233709462.89062497
19051.0	169753540.03906247
19052.0	137743662.10937497
19053.0	141623730.46874997
19054.0	109679362.79296874
19055.0	181365554.19921872
19056.0	184164401.85546872
19057.0	138534128.41796872
19058.0	205023286.13281247
19059.0	137405227.05078122
19060.0	139561582.03124997
19061.0	101605589.59960936
19062.0	100820776.36718749
19063.0	140339803.46679685
19064.0	164728671.87499997
19065.0	188412480.46874997
19066.0	168304265.13671872
19067.0	116727128.90624999
19068.0	140715371.09374997
19069.0	135225897.21679685
19070.0	111008360.59570311
19071.0	159593625.48828122
19072.0	133063234.86328122
19073.0	193754592.28515622
19074.0	133386262.20703122
19075.0	191412773.43749997
19076.0	182108745.11718747
19077.0	165847114.25781247
19078.0	183392036.13281247
19079.0	137995527.34374997
19080.0	171076357.42187497
19081.0	167057163.08593747
19082.0	201633544.92187497
19083.0	163924677.73437497
19084.0	156566520.99609372
19085.0	158490732.42187497
19086.0	140737194.82421872
19087.0	181445981.44531247
19088.0	173156520.99609372
19089.0	123596965.33203122
19090.0	153854130.85937497
19091.0	163649362.79296872
19092.0	163768264.16015622
19093.0	166339267.57812497
19094.0	147498051.75781247
19095.0	141564345.70312497
19096.0	134433522.94921872
19097.0	125472595.21484372
19098.0	204885610.35156247
19099.0	169186882.32421872
19100.0	166742087.40234372
19101.0	161518791.50390622
19102.0	136330161.13281247
19103.0	123457316.89453122
19104.0	188251711.42578122
19105.0	161444953.61328122
19106.0	127882304.68749997
19107.0	138511147.46093747
19108.0	173377529.29687497
19109.0	155432294.92187497
19110.0	150211652.83203122
19111.0	125822219.23828122
19112.0	124773601.07421872
19113.0	151384609.37499997
19114.0	121973706.05468749
19115.0	149980285.64453122
19116.0	104878376.46484374
19117.0	97183397.21679686
19118.0	188289603.27148435
19119.0	209446948.24218747
19120.0	143367326.66015622
19121.0	130480314.94140622
19122.0	169744228.51562497
19123.0	198541494.14062497
19124.0	204234421.38671872
19125.0	150652915.03906247
19126.0	152996696.77734372
19127.0	137967050.78124997
19128.0	156664101.56249997
19129.0	176724316.40624997
19130.0	211655893.55468747
19131.0	170963503.41796872
19132.0	166470178.22265622
19133.0	154192154.5410156
19134.0	158075504.1503906
19135.0	179830156.24999997
19136.0	135558471.67968747
19137.0	119292092.28515624
19138.0	173802390.13671872
19139.0	230214145.50781247
19140.0	177611442.87109372
19141.0	207923288.57421872
19142.0	182059770.50781247
19143.0	146082451.17187497
19144.0	138931352.53906247
19145.0	147504531.24999997
19146.0	171747143.55468747
19147.0	168121306.15234372
19148.0	166495561.52343747
19149.0	155872673.33984372
19150.0	189385820.31249997
19151.0	149697219.23828122
19152.0	179907053.22265622
19153.0	164283234.86328122
19154.0	185880349.12109372
19155.0	155259614.25781247
19156.0	168732905.27343747
19157.0	181852875.97656247
19158.0	174077207.03124997
19159.0	135416604.00390622
19160.0	129193247.07031247
19161.0	139458172.60742185
19162.0	103263604.73632811
19163.0	161735192.87109372
19164.0	136318923.33984372
19165.0	120342978.51562499
19166.0	136013310.54687497
19167.0	119605205.07812499
19168.0	180381232.91015622
19169.0	149149533.69140622
19170.0	158297197.26562497
19171.0	141942934.57031247
19172.0	146808789.06249997
19173.0	173901437.98828122
19174.0	143310761.71874997
19175.0	142671877.44140622
19176.0	155779101.56249997
19177.0	154801271.97265622
19178.0	156989528.80859372
19179.0	143852343.74999997
19180.0	159069689.94140622
19181.0	108164990.23437499
19182.0	141015510.25390622
19183.0	148086760.25390622
19184.0	153024240.72265622
19185.0	159159184.57031247
19186.0	152523725.58593747
19187.0	200890737.30468747
19188.0	191005722.65624997
19189.0	181564638.67187497
19190.0	163817988.28124997
19191.0	142460141.60156247
19192.0	185446284.17968747
19193.0	161836354.98046872
19194.0	198401271.97265622
19195.0	206924536.13281247
19196.0	208857636.71874997
19197.0	121453815.91796874
19198.0	127977709.96093747
19199.0	150195522.46093747
19200.0	113066086.42578124
19201.0	161858354.49218747
19202.0	174027553.71093747
19203.0	175179238.28124997
19204.0	192008747.55859372
19205.0	177479523.92578122
19206.0	134421998.2910156
19207.0	101227170.41015624
19208.0	157786876.2207031
19209.0	150714633.78906247
19210.0	96952215.57617186
19211.0	161188489.99023435
19212.0	153896279.29687497
19213.0	190606289.06249997
19214.0	176119794.92187497
19215.0	184526630.85937497
19216.0	124846811.52343747
19217.0	138846630.85937497
19218.0	202255095.21484372
19219.0	153032175.29296872
19220.0	175993862.30468747
19221.0	153737824.70703122
19222.0	149758576.66015622
19223.0	165288789.06249997
19224.0	166302790.52734372
19225.0	160449353.02734372
19226.0	184388256.83593747
19227.0	178113659.66796872
19228.0	160222253.41796872
19229.0	118609399.41406249
19230.0	128973432.61718747
19231.0	231076874.99999997
19232.0	173796118.16406247
19233.0	150933872.07031247
19234.0	164959125.97656247
19235.0	148330563.96484372
19236.0	157307382.81249997
19237.0	136499123.53515622
19238.0	137388808.59374997
19239.0	127760100.09765622
19240.0	142005949.70703122
19241.0	195284260.25390622
19242.0	92186129.15039061
19243.0	163462801.51367185
19244.0	144659509.27734372
19245.0	155347011.71874997
19246.0	209754658.20312497
19247.0	165305908.20312497
19248.0	145083730.46874997
19249.0	115231010.74218749
19250.0	134157744.14062497
19251.0	170818232.42187497
19252.0	221619155.27343747
19253.0	185511113.28124997
19254.0	158758173.82812497
19255.0	124671950.68359372
