# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
7000.0	178228.18660736078
7010.0	181340.47126770017
7020.0	184495.8801269531
7030.0	187694.9996948242
7040.0	190938.5080337524
7050.0	194213.24443817136
7060.0	197559.69238281247
7070.0	200938.4784698486
7080.0	204363.37280273435
7090.0	207834.46407318112
7100.0	211352.02693939206
7110.0	214917.5586700439
7120.0	218530.57861328122
7130.0	222191.159248352
7140.0	225898.26583862302
7150.0	229644.8068618774
7160.0	233435.3160858154
7170.0	237277.2817611694
7180.0	241173.36273193354
7190.0	245118.44348907465
7200.0	249113.15917968744
7210.0	253159.13295745847
7220.0	257256.51168823236
7230.0	261407.61947631833
7240.0	265610.63671112055
7250.0	269867.0692443847
7260.0	274177.1965026855
7270.0	278541.9092178344
7280.0	282959.95616912836
7290.0	287435.77003479
7300.0	291965.1088714599
7310.0	296551.16558074945
7320.0	301194.52857971186
7330.0	305895.6232070922
7340.0	310653.66458892816
7350.0	315470.869064331
7360.0	320346.85516357416
7370.0	325281.63719177234
7380.0	330277.3265838622
7390.0	335334.0110778808
7400.0	340451.73072814936
7410.0	345627.96974182123
7420.0	350864.7556304931
7430.0	356171.6403961181
7440.0	361535.27259826654
7450.0	366964.82467651356
7460.0	372457.1380615234
7470.0	378013.43345642084
7480.0	383634.0904235839
7490.0	389321.42829895014
7500.0	395072.7825164794
7510.0	400892.24052429193
7520.0	406777.6317596435
7530.0	412729.6752929687
7540.0	418749.94850158686
7550.0	424839.3383026122
7560.0	430985.0711822509
7570.0	437210.96229553217
7580.0	443518.38111877436
7590.0	449882.57789611805
7600.0	456315.595626831
7610.0	462819.56291198725
7620.0	469388.26560974115
7630.0	476008.6021423339
7640.0	482662.39166259754
7650.0	489285.83526611316
7660.0	495288.3663177489
7670.0	456484.7960472106
7680.0	509888.2217407226
7690.0	517060.12916564936
7700.0	481040.25268554676
7710.0	531528.6750793456
7720.0	539247.9858398436
7730.0	546836.8244171141
7740.0	554443.1972503661
7750.0	562099.4281768798
7760.0	569822.0443725585
7770.0	577620.0141906737
7780.0	585499.671936035
7790.0	593457.8571319579
7800.0	601397.8462219237
7810.0	609620.6035614013
7820.0	617836.7195129393
7830.0	626128.5686492919
7840.0	634508.653640747
7850.0	642977.1347045897
7860.0	651531.8946838378
7870.0	660171.9665527343
7880.0	668900.3601074218
7890.0	677719.1810607909
7900.0	686625.419616699
7910.0	695616.2147521971
7920.0	704699.0394592284
7930.0	713876.079559326
7940.0	723143.226623535
7950.0	732336.8110656737
7960.0	741953.7620544432
7970.0	751491.5237426755
7980.0	761140.7737731932
7990.0	770875.965118408
8000.0	780697.238922119
8010.0	790631.450653076
8020.0	800655.2391052245
8030.0	810775.7148742673
8040.0	820990.6616210936
8050.0	831307.0793151854
8060.0	841724.8954772948
8070.0	852230.945587158
8080.0	862855.0453186034
8090.0	873564.5103454589
8100.0	884385.688781738
8110.0	895293.5905456542
8120.0	906322.9103088378
8130.0	917447.9331970214
8140.0	928688.2400512694
8150.0	940024.5399475096
8160.0	951470.3254699705
8170.0	963008.1062316892
8180.0	974669.1970825193
8190.0	986428.829193115
8200.0	998055.9577941893
8210.0	1010266.4337158201
8220.0	1022350.631713867
8230.0	1034550.2395629882
8240.0	1046876.5029907224
8250.0	1059285.259246826
8260.0	1071831.4933776853
8270.0	1084461.0290527341
8280.0	1097221.7788696287
8290.0	1110066.3452148435
8300.0	1123071.6209411619
8310.0	1136150.695800781
8320.0	1149374.2332458494
8330.0	1162653.9306640623
8340.0	1176074.7985839841
8350.0	1189561.7904663084
8360.0	1203161.5486145017
8370.0	1216880.2146911619
8380.0	1230730.2093505857
8390.0	1244644.8173522947
8400.0	1258724.712371826
8410.0	1272978.8322448728
8420.0	1287271.789550781
8430.0	1301687.8128051755
8440.0	1316167.4194335935
8450.0	1330821.5713500974
8460.0	1345593.193054199
8470.0	1360505.3405761716
8480.0	1375560.478210449
8490.0	1390707.1990966792
8500.0	1406007.8506469724
8510.0	1421409.3017578123
8520.0	1436940.4907226558
8530.0	1452585.0143432615
8540.0	1468360.3286743162
8550.0	1484287.9867553709
8560.0	1500334.0530395505
8570.0	1516464.1189575193
8580.0	1532799.1943359373
8590.0	1549191.4443969724
8600.0	1565730.6365966795
8610.0	1582375.5722045896
8620.0	1599143.9285278318
8630.0	1616079.4677734373
8640.0	1633161.4685058591
8650.0	1650313.652038574
8660.0	1667728.9962768552
8670.0	1685194.313049316
8680.0	1702770.3857421873
8690.0	1720409.9807739253
8700.0	1738060.2722167966
8710.0	1756052.1850585933
8720.0	1774159.1339111326
8730.0	1792526.1306762693
8740.0	1810773.7655639644
8750.0	1829496.0632324216
8760.0	1848261.665344238
8770.0	1867037.0101928709
8780.0	1886040.4968261716
8790.0	1905067.3828124995
8800.0	1918805.1147460933
8810.0	1943651.0848999019
8820.0	1963283.1115722652
8830.0	1982893.4631347652
8840.0	2002848.8769531248
8850.0	2022559.860229492
8860.0	2042715.2099609373
8870.0	2062506.1721801753
8880.0	2083017.0669555662
8890.0	2103465.1184082027
8900.0	2124113.487243652
8910.0	2144989.1891479488
8920.0	2165649.1699218745
8930.0	2186851.0742187495
8940.0	2208124.633789062
8950.0	2229119.78149414
8960.0	2250909.645080566
8970.0	2272410.1715087886
8980.0	2294523.5214233394
8990.0	2316330.8105468745
9000.0	2338600.4409790034
9010.0	2361109.1308593745
9020.0	2383538.89465332
9030.0	2405632.7667236323
9040.0	2428628.1890869136
9050.0	2451831.29119873
9060.0	2474255.073547363
9070.0	2497656.89086914
9080.0	2522107.8491210933
9090.0	2544989.9291992183
9100.0	2568497.3983764644
9110.0	2592419.3878173823
9120.0	2617312.3016357413
9130.0	2640944.015502929
9140.0	2664860.8703613277
9150.0	2690166.5039062495
9160.0	2715151.0772705073
9170.0	2739939.315795898
9180.0	2764338.3941650386
