# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
7000.0	85046752767999.98
7010.0	86240749823999.98
7020.0	87577505279999.98
7030.0	88993741823999.98
7040.0	90286205951999.98
7050.0	91641614335999.98
7060.0	92502238719999.98
7070.0	93796779007999.97
7080.0	95335653375999.98
7090.0	96578266623999.98
7100.0	97937340927999.97
7110.0	99449084927999.97
7120.0	100885950975999.98
7130.0	102126540287999.97
7140.0	103525189631999.98
7150.0	105018819583999.98
7160.0	106640474623999.98
7170.0	108073983999999.98
7180.0	109720548351999.98
7190.0	111280877567999.97
7200.0	112881360383999.97
7210.0	114345351679999.98
7220.0	116106202623999.97
7230.0	117752138239999.98
7240.0	119328715263999.97
7250.0	121130787839999.98
7260.0	122742738431999.98
7270.0	124483132927999.97
7280.0	126254271999999.98
7290.0	127974997503999.97
7300.0	129859172863999.97
7310.0	131542242815999.98
7320.0	133463400447999.97
7330.0	135254492671999.98
7340.0	136948490751999.98
7350.0	138736043007999.97
7360.0	140588867071999.98
7370.0	142546524159999.97
7380.0	144347078655999.97
7390.0	146181516287999.97
7400.0	148095434751999.97
7410.0	149982920191999.97
7420.0	151809833983999.97
7430.0	153856823807999.97
7440.0	155817124863999.97
7450.0	157702591487999.97
7460.0	159719674367999.97
7470.0	161753086975999.97
7480.0	163758696959999.97
7490.0	165840274431999.97
7500.0	167918042623999.97
7510.0	169967844351999.97
7520.0	172065550847999.97
7530.0	174182242303999.97
7540.0	176289058815999.94
7550.0	178439047167999.97
7560.0	180542456831999.97
7570.0	182708685823999.97
7580.0	184894769151999.97
7590.0	186800246783999.97
7600.0	188816857087999.97
7610.0	190924391423999.97
7620.0	192942826495999.94
7630.0	194539658239999.97
7640.0	195822038015999.94
7650.0	196520822783999.97
7660.0	195994305535999.94
7670.0	176736352959999.97
7680.0	202145259519999.97
7690.0	204858415103999.97
7700.0	185192165119999.97
7710.0	209721286655999.94
7720.0	214473041919999.97
7730.0	218529375231999.97
7740.0	222057907199999.97
7750.0	225079569407999.94
7760.0	228056985599999.97
7770.0	230757958655999.94
7780.0	233851407359999.97
7790.0	236656509951999.97
7800.0	238507523071999.97
7810.0	242681204735999.94
7820.0	245654701055999.94
7830.0	248353245183999.97
7840.0	251195001855999.94
7850.0	254052479999999.97
7860.0	257265488895999.94
7870.0	260228599807999.94
7880.0	263525371903999.97
7890.0	266709301247999.94
7900.0	269791045631999.97
7910.0	272745772031999.97
7920.0	275459539967999.94
7930.0	279033245695999.94
7940.0	282285856767999.94
7950.0	283829471231999.94
7960.0	288970394623999.94
7970.0	292134362111999.94
7980.0	295497724927999.94
7990.0	298610027519999.94
8000.0	302099949567999.94
8010.0	305321658367999.94
8020.0	309109291007999.94
8030.0	312598680575999.94
8040.0	316097820671999.94
8050.0	319328465919999.94
8060.0	323116785663999.94
8070.0	326915127295999.94
8080.0	330956898303999.94
8090.0	334500657151999.94
8100.0	339136872447999.94
8110.0	342622779391999.94
8120.0	346969909247999.94
8130.0	351848157183999.94
8140.0	355998386175999.94
8150.0	360724975615999.94
8160.0	365004269567999.94
8170.0	368396783615999.94
8180.0	373444907007999.94
8190.0	375247532031999.9
8200.0	374824642559999.94
8210.0	378869198847999.94
8220.0	385330653183999.94
8230.0	388242540543999.94
8240.0	393721843711999.9
8250.0	396524208127999.94
8260.0	401274324991999.9
8270.0	405814757375999.94
8280.0	408161708031999.9
8290.0	409666809855999.94
8300.0	417500522495999.94
8310.0	419146831871999.9
8320.0	424071770111999.9
8330.0	429903474687999.94
8340.0	433756911615999.9
8350.0	436142442495999.9
8360.0	441027473407999.94
8370.0	445660694527999.94
8380.0	451399847935999.9
8390.0	452404084735999.9
8400.0	457745713151999.9
8410.0	469953165311999.9
8420.0	471089078271999.9
8430.0	474726711295999.9
8440.0	471049529343999.94
8450.0	473623091199999.94
8460.0	477602306047999.94
8470.0	481957316607999.94
8480.0	487336853503999.94
8490.0	491735767039999.94
8500.0	497462032383999.94
8510.0	501745860607999.94
8520.0	507171831807999.94
8530.0	511462119423999.94
8540.0	516592379903999.94
8550.0	523006545919999.9
8560.0	528496644095999.9
8570.0	532965113855999.9
8580.0	539399378943999.94
8590.0	543106678783999.94
8600.0	547986317311999.9
8610.0	553634017279999.9
8620.0	559360475135999.9
8630.0	564426987519999.9
8640.0	569155368959999.9
8650.0	574522925055999.9
8660.0	582228551679999.9
8670.0	587710846975999.9
8680.0	591586054143999.9
8690.0	595733710847999.9
8700.0	595572109311999.9
8710.0	601536217087999.9
8720.0	606887088127999.9
8730.0	616095545343999.9
8740.0	618878902271999.9
8750.0	628367153151999.9
8760.0	640466376703999.9
8770.0	645611104255999.9
8780.0	654927472639999.9
8790.0	659932923903999.9
8800.0	655002224639999.9
8810.0	670284967935999.9
8820.0	689466871807999.9
8830.0	691365138431999.9
8840.0	713554804735999.9
8850.0	703097540607999.9
8860.0	706416787455999.9
8870.0	691155681279999.9
8880.0	696792227839999.9
8890.0	708091932671999.9
8900.0	712835739647999.9
8910.0	727490105343999.8
8920.0	723559071743999.8
