# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
9000.0	3.083360409833973e+17
9010.0	3.2638910404935226e+17
9020.0	3.0542010905062816e+17
9030.0	3.1302778197410195e+17
9040.0	3.2768725742665914e+17
9050.0	3.391791058117326e+17
9060.0	3.507371272232945e+17
9070.0	3.60805840321333e+17
9080.0	3.7286609055513056e+17
9090.0	3.5346605900152986e+17
9100.0	3.758167781045824e+17
9110.0	3.776966907485122e+17
9120.0	3.891427670828521e+17
9130.0	3.9746903895481946e+17
9140.0	4.037498851060041e+17
9150.0	4.081448603095424e+17
9160.0	4.15833194016417e+17
9170.0	4.146175784312275e+17
9180.0	4.1857907020473875e+17
9190.0	4.31192591588442e+17
9200.0	4.274982457510223e+17
9210.0	3.8396727219635117e+17
9220.0	3.791932999579319e+17
9230.0	3.5820696698933997e+17
9240.0	3.525016852644611e+17
9250.0	3.550913014326009e+17
9260.0	3.6090949283681114e+17
9270.0	3.694010474932008e+17
9280.0	3.5110979911791206e+17
9290.0	3.387100741952318e+17
9300.0	3.299979770108377e+17
9310.0	3.391293741932549e+17
9320.0	3.353081355932072e+17
9330.0	3.537004937109804e+17
9340.0	3.5226899870888986e+17
9350.0	3.433698314634489e+17
9360.0	3.434611069799929e+17
9370.0	3.3794679819415277e+17
9380.0	3.527048427606905e+17
9390.0	3.566615083049216e+17
9400.0	3.688901128507585e+17
9410.0	3.639202192044501e+17
9420.0	3.5610477559237114e+17
9430.0	3.692249004670956e+17
9440.0	3.583775577343478e+17
9450.0	3.602189088165497e+17
9460.0	3.730595198919052e+17
9470.0	3.860946158929412e+17
9480.0	3.9092767868724474e+17
9490.0	3.928171734442004e+17
9500.0	3.94611176830604e+17
9510.0	3.848544615876931e+17
9520.0	3.946808073350722e+17
9530.0	3.985252719606309e+17
9540.0	3.986698989185321e+17
9550.0	3.9360823256691136e+17
9560.0	4.0705866032985325e+17
9570.0	4.079366545328458e+17
9580.0	4.0772914226926483e+17
9590.0	4.1756566972433594e+17
9600.0	4.08942280306991e+17
9610.0	4.160488608409013e+17
9620.0	4.2546224142950317e+17
9630.0	4.285244395529396e+17
9640.0	4.051669997642634e+17
9650.0	4.0836460136959264e+17
9660.0	4.0045021593421594e+17
9670.0	4.085495911366524e+17
9680.0	4.092536406628892e+17
9690.0	4.20416746741329e+17
9700.0	4.380837082312789e+17
9710.0	4.1887462349132614e+17
9720.0	4.0214996684967334e+17
9730.0	3.8334440461373254e+17
9740.0	3.7539278837698477e+17
9750.0	3.760076931751603e+17
9760.0	4.005964918384203e+17
9770.0	3.8908669702028006e+17
9780.0	4.140830925720827e+17
9790.0	3.7706131275658426e+17
9800.0	4.176621622600166e+17
9810.0	3.900938392356362e+17
9820.0	3.892024851120166e+17
9830.0	3.737090234761784e+17
9840.0	3.926272771065479e+17
9850.0	3.979118993544199e+17
9860.0	4.103314668832107e+17
9870.0	4.101203082123606e+17
9880.0	4.169821038139887e+17
9890.0	4.25430564679815e+17
9900.0	3.81505549453515e+17
9910.0	3.744128168209714e+17
9920.0	3.695887970521583e+17
9930.0	3.8067096020810784e+17
9940.0	3.955673443790903e+17
9950.0	4.041140844477746e+17
9960.0	4.036593598663419e+17
9970.0	4.1464697016343136e+17
9980.0	4.142240452446854e+17
9990.0	3.983443083348195e+17
10000.0	4.013191177713811e+17
10010.0	3.939719963791644e+17
10020.0	4.131340436667092e+17
10030.0	4.141599258182014e+17
10040.0	3.869928757632085e+17
10050.0	3.8839327236498714e+17
10060.0	3.7725173630044416e+17
10070.0	3.919795708674313e+17
10080.0	4.05107770094719e+17
10090.0	3.998456367218515e+17
10100.0	4.123402072758444e+17
