# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
19000.0	5518271500963545.0
19001.0	8762370219287058.0
19002.0	7501150365960215.0
19003.0	7507485249511444.0
19004.0	1872741289455829.0
19005.0	3212045258989566.0
19006.0	554475348435785.8
19007.0	3341258416049520.0
19008.0	5716684030434199.0
19009.0	5461683885185380.0
19010.0	3768418597736092.0
19011.0	1532722834266536.2
19012.0	2528451036724509.5
19013.0	5255787645263886.0
19014.0	2149347232949843.0
19015.0	2767870393917847.5
19016.0	2001936930876824.5
19017.0	5932287435300026.0
19018.0	7266437846626487.0
19019.0	5655588407512776.0
19020.0	3938503515788660.0
19021.0	5775431125191239.0
19022.0	6413349823032862.0
19023.0	3812392065110655.0
19024.0	7598101914093005.0
19025.0	5772008447089105.0
19026.0	4393163336223545.0
19027.0	6633380740503517.0
19028.0	4952398241760098.0
19029.0	1581172540074605.2
19030.0	584612778709751.5
19031.0	2549129449634260.0
19032.0	4830018150998590.0
19033.0	1999972428921708.5
19034.0	6585204858699527.0
19035.0	7396824344020189.0
19036.0	4915622526162067.0
19037.0	1655562557817891.8
19038.0	3139586643239992.0
19039.0	1407698285844272.5
19040.0	2826012058063262.0
19041.0	3317738886251622.0
19042.0	4808663720842593.0
19043.0	4688865482313168.0
19044.0	6402302440746938.0
19045.0	5196068986646732.0
19046.0	2585355334381126.5
19047.0	2539132011033057.0
19048.0	6003538811055220.0
19049.0	5775061394779632.0
19050.0	7719282804905808.0
19051.0	6446245047542203.0
19052.0	3210051375244118.5
19053.0	1944710886733560.2
19054.0	522295462209800.44
19055.0	3583987020920666.0
19056.0	3062089836888588.0
19057.0	1188921510936755.5
19058.0	5871079965928595.0
19059.0	3690232756798487.0
19060.0	3810505596034875.0
19061.0	498078043284296.56
19062.0	1227230290132955.0
19063.0	3521158035838843.0
19064.0	4374379653625663.0
19065.0	5805768857147181.0
19066.0	5724164811024271.0
19067.0	1139265949346893.0
19068.0	2310403723869932.0
19069.0	844617777762035.9
19070.0	1223830560767893.2
19071.0	4037294141291987.5
19072.0	3291058760100679.0
19073.0	4362414657326167.5
19074.0	3932142543595725.5
19075.0	8058467833029544.0
19076.0	6482478817307612.0
19077.0	7050360253950752.0
19078.0	6672400328585327.0
19079.0	3488473770202204.5
19080.0	5187502047560083.0
19081.0	5139110931178090.0
19082.0	6956440583236930.0
19083.0	3760962734242895.5
19084.0	7484916810263730.0
19085.0	4840508529892408.0
19086.0	5809342485766599.0
19087.0	5777222524741276.0
19088.0	5464327985468576.0
19089.0	1832888887008561.2
19090.0	4045851433190998.0
19091.0	5965350908719095.0
19092.0	7306308642478400.0
19093.0	4433460996977219.0
19094.0	4564498757544036.0
19095.0	5692444256493185.0
19096.0	4412304512819454.5
19097.0	1961237537581906.5
19098.0	7136312463475490.0
19099.0	3349338931671986.5
19100.0	5795227652374470.0
19101.0	6245300660025163.0
19102.0	4709420472125935.0
19103.0	2314724236422126.5
19104.0	7823368345493029.0
19105.0	4949058809094431.0
19106.0	889821457116904.2
19107.0	2818591278142426.5
19108.0	4815065505370716.0
19109.0	4918913004480783.0
19110.0	4856373858052898.0
19111.0	2329379192866701.0
19112.0	1164818830064650.2
19113.0	1431591545972170.2
19114.0	768590470046784.8
19115.0	1356176101338298.0
19116.0	1104969345272478.9
19117.0	839723421118355.6
19118.0	3383258223419863.0
19119.0	5789788372973407.0
19120.0	1888223947423806.5
19121.0	2832720969667007.5
19122.0	5118276305736710.0
19123.0	6673609089427097.0
19124.0	6478504682692152.0
19125.0	1320219786087554.0
19126.0	4836619401982084.0
19127.0	3048005467628881.0
19128.0	2889434144062864.5
19129.0	6398437256555827.0
19130.0	9040877405087986.0
19131.0	7637785886215198.0
19132.0	5982355041301837.0
19133.0	2693900128784757.0
19134.0	2015627883980328.8
19135.0	4454668746636942.0
19136.0	1086079641197424.5
19137.0	907704664644450.1
19138.0	1215432572768864.8
19139.0	5409868428428544.0
19140.0	6057271683441053.0
19141.0	7486704979947693.0
19142.0	6537231507850232.0
19143.0	2015129787254339.8
19144.0	1363419961569828.8
19145.0	3412860861671982.0
19146.0	5200322671147410.0
19147.0	6449604771469277.0
19148.0	3955678455399972.5
19149.0	3258776677726483.5
19150.0	7501002275108050.0
19151.0	5917079977709156.0
19152.0	7415318017385812.0
19153.0	4244565222928334.0
19154.0	5051664588132589.0
19155.0	5320333143718446.0
19156.0	6531806283803702.0
19157.0	6571135097124461.0
19158.0	7378625158228504.0
19159.0	3242452437525522.0
19160.0	2008720513947017.5
19161.0	1455684741592525.8
19162.0	1374572779938184.2
19163.0	2536936327512392.0
19164.0	2044072159217977.0
19165.0	806551842207293.2
19166.0	2305885094273485.0
19167.0	1777672648269287.8
19168.0	5013826331496267.0
19169.0	5043651127902874.0
19170.0	5785325527898959.0
19171.0	3695030427903031.5
19172.0	3367595147659111.0
19173.0	4928959717105554.0
19174.0	2872241041923432.5
19175.0	2303617558740453.5
19176.0	5262539513120309.0
19177.0	5085376893568796.0
19178.0	5997000265057090.0
19179.0	3784232397293244.0
19180.0	5370397140116377.0
19181.0	2177960840678061.2
19182.0	5234908721448237.0
19183.0	4882256671538054.0
19184.0	5107695405314678.0
19185.0	5155864873678073.0
19186.0	4542954790791786.0
19187.0	8096604551914306.0
19188.0	8105250426788377.0
19189.0	7519114961072827.0
19190.0	5573935977749024.0
19191.0	5203427089441566.0
19192.0	8182593117611163.0
19193.0	6842832367200599.0
19194.0	6860392886002748.0
19195.0	6016723275503096.0
19196.0	4456225131211557.5
19197.0	640491707131436.1
19198.0	458547960267680.3
19199.0	2044236153232061.5
19200.0	1238440983646884.8
19201.0	4329265158931492.5
19202.0	3063248173955140.0
19203.0	5082434067505717.0
19204.0	4803043862912310.0
19205.0	3073730712790540.5
19206.0	1257923358370393.0
19207.0	161130304516248.47
