# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
7000.0	49001525745945.03
7010.0	50496528886383.305
7020.0	51694936778516.96
7030.0	53624502883433.79
7040.0	53155160949742.49
7050.0	54192229621804.5
7060.0	52060384279944.72
7070.0	54527864551863.695
7080.0	57036178490737.29
7090.0	57174879823626.414
7100.0	57327457501665.85
7110.0	59730803971048.96
7120.0	62842861830056.055
7130.0	60707987355366.78
7140.0	63038379886205.086
7150.0	67340517012451.35
7160.0	69515159531602.13
7170.0	71417198580421.22
7180.0	75240639662468.2
7190.0	79394605138594.05
7200.0	80510978971810.53
7210.0	82391315851528.94
7220.0	86610732257833.08
7230.0	89724538325525.72
7240.0	93100011798314.83
7250.0	97991570541420.03
7260.0	103576698854713.39
7270.0	106362597910575.97
7280.0	108038185666316.9
7290.0	115059015575891.47
7300.0	120452479885078.64
7310.0	127565784470956.55
7320.0	132793382096687.9
7330.0	145131695982495.66
7340.0	122451007050739.1
7350.0	118617374449343.89
7360.0	110775804345251.1
7370.0	119850392776859.94
7380.0	109393637476038.86
7390.0	110654617462974.11
7400.0	91630979252401.2
7410.0	100736026466904.47
7420.0	86731728137450.06
7430.0	100206731500911.31
7440.0	91607237493597.02
7450.0	87325292049973.38
7460.0	83361528538140.58
7470.0	84650289523836.78
7480.0	85743944563429.8
7490.0	91654130959247.12
7500.0	89944469450822.84
7510.0	91109726817116.28
7520.0	91821475222750.66
7530.0	101290657911012.73
7540.0	104833339021567.61
7550.0	110535298436992.33
7560.0	114955361849601.83
7570.0	117607166867818.52
7580.0	118826722044546.02
7590.0	124748128711046.44
7600.0	125456022291057.88
7610.0	134913550706249.67
7620.0	141007563575195.06
7630.0	140306791225249.52
7640.0	139745233502299.2
7650.0	135705108976536.36
7660.0	108018325102640.86
7670.0	93963058508280.28
7680.0	131039244072792.62
7690.0	135667667098932.97
7700.0	102387380612683.45
7710.0	142551126479291.9
7720.0	165455886184552.4
7730.0	175269118158354.28
7740.0	189578150863301.22
7750.0	191191064326475.12
7760.0	195941955434205.6
7770.0	209329333059600.3
7780.0	214388714601992.56
7790.0	214524817686477.53
7800.0	200241889874224.97
7810.0	242478207784282.2
7820.0	252259158293985.06
7830.0	234060345916711.72
7840.0	238014882971703.8
7850.0	230686101496415.22
7860.0	210234608332031.06
7870.0	195082934227846.78
7880.0	185247519922492.0
7890.0	219632229678708.8
7900.0	182270066108490.84
7910.0	171573935300571.78
7920.0	155742378314825.47
7930.0	163407865632512.5
7940.0	157258906718989.38
7950.0	151803481087608.53
7960.0	155026942531200.47
7970.0	156514399217518.4
7980.0	157533133637630.84
7990.0	146842283440030.28
8000.0	162515797609443.22
8010.0	172277405343021.34
8020.0	174492278829098.38
8030.0	175822818440794.78
8040.0	190640939088473.5
8050.0	192464153493261.8
8060.0	192380884027178.72
8070.0	196816624899118.22
8080.0	229141118577787.75
8090.0	239435038092298.1
8100.0	266969377365033.6
8110.0	285965603607197.94
8120.0	327677464609362.0
8130.0	310729840262733.8
8140.0	355166014542238.6
8150.0	373995475193518.7
8160.0	417731888744485.94
8170.0	440978375639058.9
8180.0	470220356823777.06
8190.0	477809702117956.4
8200.0	454819737912013.7
8210.0	387892662225809.25
8220.0	408216300572181.44
8230.0	435638291137043.2
8240.0	485479863451234.9
8250.0	476635662885392.56
8260.0	483157583223219.75
8270.0	521179945447293.44
8280.0	480421974034373.5
8290.0	474791957230999.0
8300.0	467860770025498.1
8310.0	484907898336418.9
8320.0	522477874139520.06
8330.0	553644183154976.4
8340.0	529807422038775.4
8350.0	531566872640886.8
8360.0	549903210757151.9
8370.0	597291349443086.4
8380.0	574785457821127.0
8390.0	565344330612428.5
8400.0	588726522357531.0
8410.0	628372931763064.2
8420.0	641265418871240.5
8430.0	624137572113495.1
8440.0	484522144994108.25
8450.0	452997175733868.9
8460.0	447859842858163.8
8470.0	451647813833277.94
8480.0	475181059109524.44
8490.0	503956603893258.56
8500.0	498823921404739.0
8510.0	498292123976321.7
8520.0	453415432076757.2
8530.0	476771451630012.94
8540.0	477157725781940.7
8550.0	443197982554023.75
8560.0	472942151515252.5
8570.0	467355187202663.0
8580.0	418831655671142.5
8590.0	407745591317995.5
8600.0	403216802421878.1
8610.0	401948734980123.3
8620.0	401343142804141.06
8630.0	389500428845224.6
8640.0	395315403823659.94
8650.0	405099208618684.6
8660.0	374592769482271.4
8670.0	389981112361149.1
8680.0	373596264577416.3
8690.0	371107607616037.1
8700.0	395736237936147.9
8710.0	390337759878248.1
8720.0	402224284378106.25
8730.0	421814678703176.94
8740.0	408793360452379.25
8750.0	414937626120841.94
8760.0	427526944556982.94
8770.0	446643060158435.4
8780.0	464329548007774.1
8790.0	481512293132595.5
8800.0	483731907767657.4
8810.0	516571091970721.8
8820.0	500766074303520.4
8830.0	516626662406919.6
8840.0	539285035594328.8
8850.0	565753043869433.4
8860.0	570050774510463.9
8870.0	542398378573553.25
8880.0	566374864823700.2
8890.0	580825920941181.8
8900.0	599540416770049.1
8910.0	654460551862812.0
8920.0	650791263341602.0
8930.0	684243710749872.4
8940.0	690031608011700.0
8950.0	685832726263745.1
8960.0	747107707347700.9
8970.0	768433077615729.2
8980.0	847207335769461.2
8990.0	882760041809426.6
9000.0	948788261024194.5
9010.0	1044060971794084.6
9020.0	994075397163038.5
9030.0	1026908033695425.5
9040.0	1102366381523497.0
9050.0	1203223443939104.2
9060.0	1226899670502978.8
9070.0	1345407241176344.2
9080.0	1430318877421262.8
9090.0	1531439098735893.5
9100.0	1604888483012599.2
9110.0	1625159980064338.0
9120.0	1760697911794769.5
9130.0	1737586759644297.8
9140.0	1875990464846480.0
9150.0	2024462830254927.8
9160.0	2078887806379744.8
9170.0	2232373567247710.5
9180.0	2166312206400992.0
9190.0	2419288759588227.0
9200.0	2396603080559700.5
9210.0	1695282040854844.0
9220.0	1438539621535465.0
9230.0	1285137643064970.8
9240.0	1252200412779047.2
9250.0	1345903338851160.5
9260.0	1427695324706252.2
9270.0	1365338238037261.5
9280.0	1070707777522158.8
9290.0	1126021992335111.8
9300.0	1075902952611593.2
9310.0	1172809048320513.2
9320.0	1138468662293189.8
9330.0	1192044514854153.8
9340.0	1168546437084011.8
9350.0	1182910136394331.5
9360.0	1241208457524013.8
9370.0	1113253408589319.4
9380.0	1239702611000852.0
9390.0	1227673464159691.2
9400.0	1231259296459260.5
9410.0	1224192775563337.0
9420.0	1259764789167794.8
9430.0	1246056318608502.8
9440.0	1181359158301838.0
9450.0	1257643459612458.0
9460.0	1256713886875410.8
9470.0	1245639024521041.0
