# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
19000.0	2.7323323085220196e+16
19001.0	4.068686321312494e+16
19002.0	3.626443795017695e+16
19003.0	4.022767164406092e+16
19004.0	2.3016386091616704e+16
19005.0	2.6278148808725804e+16
19006.0	1.188489225892643e+16
19007.0	2.8136728334929424e+16
19008.0	3.4587875234999468e+16
19009.0	3.5689725355191724e+16
19010.0	3.277152505185301e+16
19011.0	1.987327140183395e+16
19012.0	1.7216776609249214e+16
19013.0	2.41155070021927e+16
19014.0	1.5192702131518914e+16
19015.0	1.1590995550026072e+16
19016.0	1.375158850515239e+16
19017.0	3.3638285007296508e+16
19018.0	3.884050845168094e+16
19019.0	3.3392979535127196e+16
19020.0	2.2478825687459716e+16
19021.0	3.4056210849732104e+16
19022.0	3.787419786179273e+16
19023.0	2.7120032290458976e+16
19024.0	3.823077973684744e+16
19025.0	3.503024601348036e+16
19026.0	3.2565072590519156e+16
19027.0	3.2974378825982572e+16
19028.0	3.0469439465740556e+16
19029.0	1.8365407850451844e+16
19030.0	1.0326265831722478e+16
19031.0	2.623110025347945e+16
19032.0	3.5704351810454184e+16
19033.0	2.6512785290350904e+16
19034.0	3.3855163072043656e+16
19035.0	4.232467971741963e+16
19036.0	3.694432654780979e+16
19037.0	2.329592829877797e+16
19038.0	2.5726668940346812e+16
19039.0	1.7090329956086574e+16
19040.0	1.611260186031446e+16
19041.0	2.4336998118924476e+16
19042.0	2.607660899338319e+16
19043.0	3.546610928786478e+16
19044.0	4.168558755626385e+16
19045.0	3.087265386560391e+16
19046.0	3.0227917700478656e+16
19047.0	2.8934690601477388e+16
19048.0	3.4969579873009604e+16
19049.0	2.84893276095219e+16
19050.0	4.4233078805596216e+16
19051.0	3.785067614876112e+16
19052.0	1.9604006310245816e+16
19053.0	2.1422725149039148e+16
19054.0	1.6623424870134648e+16
19055.0	3.0392374230547548e+16
19056.0	2.7329995350278116e+16
19057.0	1.6409252546226052e+16
19058.0	3.3933863427980904e+16
19059.0	2.5872836917444984e+16
19060.0	2.4864191760647188e+16
19061.0	1.2843020180578604e+16
19062.0	1.7275776574942164e+16
19063.0	2.309856919665347e+16
19064.0	2.343358089915192e+16
19065.0	3.2647474454909468e+16
19066.0	3.138524901402429e+16
19067.0	1.7206427067618712e+16
19068.0	2.570044887135643e+16
19069.0	2.2749612862578932e+16
19070.0	1.6000816729941898e+16
19071.0	2.641747444003511e+16
19072.0	2.3883278400009916e+16
19073.0	3.4926663346738804e+16
19074.0	2.4032741066757324e+16
19075.0	3.93856927945558e+16
19076.0	3.854170220667136e+16
19077.0	3.710235953929035e+16
19078.0	3.315432166059772e+16
19079.0	1.6157363431620094e+16
19080.0	3.1113869995455108e+16
19081.0	3.6460827225708536e+16
19082.0	4.279250679928982e+16
19083.0	3.39209863097195e+16
19084.0	3.27450657895397e+16
19085.0	3.227463009662269e+16
19086.0	2.8038117441115216e+16
19087.0	3.846072470639817e+16
19088.0	3.324443411644378e+16
19089.0	1.6231853972119778e+16
19090.0	2.3128547360461996e+16
19091.0	3.3021606503317148e+16
19092.0	3.586003539797517e+16
19093.0	2.5743107515127212e+16
19094.0	2.1902168204193296e+16
19095.0	2.3098755862891804e+16
19096.0	2.2516323556939196e+16
19097.0	2.1482035260209612e+16
19098.0	3.993976602024094e+16
19099.0	3.678141055708604e+16
19100.0	3.4421986423625556e+16
19101.0	3.4520747391002244e+16
19102.0	2.9665104844920756e+16
19103.0	2.029972801312515e+16
19104.0	3.652493466676845e+16
19105.0	2.9177186187951256e+16
19106.0	1.1444377781377352e+16
19107.0	2.2683498825328e+16
19108.0	3.118521903075689e+16
19109.0	2.9900912317476264e+16
19110.0	2.9270203609038812e+16
19111.0	2.167806962665651e+16
19112.0	1.7706932659012126e+16
19113.0	2.1106246589571004e+16
19114.0	9607268447966134.0
19115.0	1.6675741155114564e+16
19116.0	1.5203057856922068e+16
19117.0	1.733492432305964e+16
19118.0	3.0353005504748656e+16
19119.0	3.481124560287529e+16
19120.0	2.291234235550874e+16
19121.0	2.266898343746736e+16
19122.0	3.636303024302119e+16
19123.0	4.586053856291954e+16
19124.0	4.351473622706162e+16
19125.0	3.167841382224899e+16
19126.0	2.8101486845282544e+16
19127.0	1.4768138475977014e+16
19128.0	2.3561686969551516e+16
19129.0	3.723964910179532e+16
19130.0	4.67202016718846e+16
19131.0	3.9337388365918e+16
19132.0	3.1846169176544524e+16
19133.0	2.8806914469326664e+16
19134.0	2.8387344659222484e+16
19135.0	3.0377665103846976e+16
19136.0	1.521663259797205e+16
19137.0	1.660443547997725e+16
19138.0	2.2541044983036804e+16
19139.0	3.8718424168746056e+16
19140.0	3.993289447177876e+16
19141.0	4.580688334087578e+16
19142.0	3.749550061632798e+16
19143.0	2.6206944629227856e+16
19144.0	2.243706487718855e+16
19145.0	2.486402548991409e+16
19146.0	3.5694681603865844e+16
19147.0	3.630390553853881e+16
19148.0	3.4586868636162172e+16
19149.0	3.294789257527185e+16
19150.0	4.000744585517301e+16
19151.0	3.2191596260960228e+16
19152.0	3.4190543574772508e+16
19153.0	2.8613573664746664e+16
19154.0	3.702142902920811e+16
19155.0	3.4615025130421428e+16
19156.0	3.190404147287173e+16
19157.0	3.721544772642867e+16
19158.0	3.75067044224299e+16
19159.0	2.2422048667549524e+16
19160.0	1.4750634713964104e+16
19161.0	2.0454737360074508e+16
19162.0	1.8731091385195052e+16
19163.0	2.7656387833123004e+16
19164.0	1.814245625313527e+16
19165.0	1.2875973120293524e+16
19166.0	2.0782269523762164e+16
19167.0	1.5239451317154626e+16
19168.0	2.8170880720089428e+16
19169.0	1.8914460622637428e+16
19170.0	2.616257576219936e+16
19171.0	2.6607490123178944e+16
19172.0	2.4919585391297116e+16
19173.0	3.4737705097783276e+16
19174.0	2.786277471319056e+16
19175.0	2.04889167446104e+16
19176.0	3.0505023334067044e+16
19177.0	3.649791561941294e+16
19178.0	3.386360989580027e+16
19179.0	3.0753893760874536e+16
19180.0	3.2135903172579144e+16
19181.0	1.7480273918268708e+16
19182.0	2.4805501140239616e+16
19183.0	2.5753005961756296e+16
19184.0	3.2814769391441956e+16
19185.0	3.1418979052973384e+16
19186.0	3.1117546533812852e+16
19187.0	4.225213759180371e+16
19188.0	4.211884789684462e+16
19189.0	4.045004267216223e+16
19190.0	3.1448151686348896e+16
19191.0	2.426206564349767e+16
19192.0	4.007707807829914e+16
19193.0	3.8089638939693336e+16
19194.0	4.015010971495779e+16
19195.0	3.683635801538484e+16
19196.0	2.9574598548141104e+16
19197.0	8200947317525233.0
19198.0	7157031640532015.0
19199.0	1.9725665132779868e+16
19200.0	1.2815713605021492e+16
19201.0	3.005466441825635e+16
19202.0	3.3745695056515576e+16
19203.0	3.646912772895007e+16
19204.0	3.737204599319126e+16
19205.0	3.023527936803876e+16
19206.0	1.820005440133994e+16
19207.0	1.366784488446676e+16
19208.0	1.7940859425721112e+16
19209.0	1.5925990351375032e+16
19210.0	1.1877461977938866e+16
19211.0	2.1257390418740796e+16
19212.0	2.8099131294489904e+16
19213.0	3.849961434166175e+16
19214.0	3.7200786168115624e+16
19215.0	3.099498617416835e+16
19216.0	1.070696211761561e+16
19217.0	1.4901576541213766e+16
19218.0	3.4283585322721176e+16
19219.0	2.975267145443747e+16
19220.0	3.5126363447376468e+16
19221.0	3.166911789192569e+16
19222.0	2.5186737349960104e+16
19223.0	2.815239404904831e+16
19224.0	3.309424268778016e+16
19225.0	3.654742172197522e+16
19226.0	3.824570779801227e+16
19227.0	3.4888954786661704e+16
19228.0	3.1849600875673172e+16
19229.0	1.6133661718765636e+16
19230.0	1.122407348535995e+16
19231.0	3.569902056879671e+16
19232.0	3.3507923918740268e+16
19233.0	2.9200797343684092e+16
19234.0	3.3719947355425864e+16
19235.0	2.7406204780103724e+16
19236.0	2.9316814683208124e+16
19237.0	1.6643419581044536e+16
19238.0	1.9057127222057508e+16
19239.0	2.125350041067011e+16
19240.0	1.7668719755336816e+16
19241.0	2.8171994772442896e+16
19242.0	1.3825488870618952e+16
19243.0	2.067611155202388e+16
19244.0	2.8988708846093636e+16
19245.0	3.319102072349459e+16
19246.0	3.621452654524838e+16
19247.0	3.895787114396346e+16
19248.0	2.8401100168158148e+16
19249.0	1.2173337026804254e+16
19250.0	1.8733367612376988e+16
19251.0	3.3436491511471548e+16
19252.0	4.3484063451848536e+16
19253.0	3.76141617608746e+16
19254.0	3.28324945316722e+16
19255.0	1.890284205349351e+16
19256.0	2.915884475436485e+16
19257.0	3.4135537356646204e+16
19258.0	3.5752946040226056e+16
19259.0	3.5696824638853764e+16
19260.0	1.5304229562141074e+16
19261.0	2.3866099689892388e+16
19262.0	3.697099347964748e+16
19263.0	3.13529375313044e+16
19264.0	3.024031535650065e+16
19265.0	1.8215015516116268e+16
19266.0	2.219733309521234e+16
19267.0	2.3585444850995376e+16
19268.0	1.0346848119920628e+16
19269.0	1.9856805863391948e+16
19270.0	2.9536459280763108e+16
19271.0	2.097289840120947e+16
19272.0	2.6255556953370876e+16
19273.0	2.3167613065281736e+16
19274.0	3.4293764038222924e+16
19275.0	3.775871865319894e+16
19276.0	2.9915257050430948e+16
19277.0	2.3167107055601076e+16
19278.0	3.812455949668082e+16
19279.0	4.474462214511761e+16
19280.0	4.61202051176395e+16
19281.0	4.617446064278716e+16
19282.0	4.131318366445354e+16
19283.0	3.4201094117093476e+16
19284.0	3.755419932749823e+16
19285.0	2.45865178093127e+16
19286.0	1.855536519095003e+16
19287.0	8856957353550267.0
19288.0	2.822918671525528e+16
19289.0	4.064433649213854e+16
19290.0	3.9763912780685976e+16
19291.0	2.274418321466967e+16
19292.0	1.7835390933862396e+16
19293.0	1.4277393724141714e+16
19294.0	2.988439551818732e+16
19295.0	2.367525096973617e+16
19296.0	3.304289956480551e+16
19297.0	2.427003693631737e+16
19298.0	3.482168517334383e+16
19299.0	3.498302004949745e+16
19300.0	3.887757456276469e+16
19301.0	3.622089644498596e+16
19302.0	2.6092781391612884e+16
19303.0	1.841333788751079e+16
19304.0	2.0751431717384108e+16
19305.0	1.706331495092838e+16
19306.0	2.8727404057122884e+16
19307.0	3.2295497339223892e+16
19308.0	2.045619602963596e+16
19309.0	2.101288733962434e+16
19310.0	1.9076394631160692e+16
19311.0	1.5474945877050838e+16
19312.0	9633344890101406.0
19313.0	2.024582358246565e+16
19314.0	1.9284065035148376e+16
19315.0	2.009977621461324e+16
19316.0	3.038537354968617e+16
19317.0	3.505761374862198e+16
19318.0	2.6712954894172212e+16
19319.0	1.8093866404998476e+16
19320.0	2.3294757965521704e+16
19321.0	3.1418120021246256e+16
19322.0	2.5060921219006372e+16
19323.0	3.45725690540396e+16
19324.0	2.543207517780692e+16
19325.0	3.5342490981183296e+16
19326.0	3.165441512397454e+16
19327.0	3.35769685629685e+16
19328.0	1.4690884646801214e+16
19329.0	1.007117444446544e+16
19330.0	2.558609559095609e+16
19331.0	3.829808890102942e+16
19332.0	3.7472708894829736e+16
19333.0	3.585241234012812e+16
19334.0	2.333439757305422e+16
19335.0	1.5192016771248196e+16
19336.0	2.6797358320264628e+16
19337.0	2.965173768715666e+16
19338.0	2.0365449845074904e+16
19339.0	1.6843415968986154e+16
19340.0	1.2995285251084206e+16
19341.0	2.0856936972726436e+16
19342.0	2.7350701349314144e+16
19343.0	3.947425516048724e+16
19344.0	3.5019667669128948e+16
19345.0	3.681988143028872e+16
19346.0	2.715129975596252e+16
19347.0	3.0740217745564944e+16
19348.0	3.15717882358343e+16
19349.0	2.4457770882576188e+16
19350.0	2.787990612242967e+16
19351.0	3.4366778290133012e+16
19352.0	3.3903320514687044e+16
19353.0	1.5814449332907952e+16
19354.0	3.0432355458275692e+16
19355.0	3.197530376665819e+16
19356.0	1.6932761144164734e+16
19357.0	2.533973072776573e+16
19358.0	2.64557708006888e+16
19359.0	2.770099948777385e+16
19360.0	2.978942930971059e+16
19361.0	3.70229676100515e+16
19362.0	2.722723056557431e+16
19363.0	2.023788927596614e+16
19364.0	2.8628037895067416e+16
19365.0	2.1960423332407664e+16
19366.0	1.4389562000035886e+16
19367.0	2.1277128133709316e+16
19368.0	2.928064049631215e+16
19369.0	4.386802580343935e+16
19370.0	4.276989956484626e+16
19371.0	3.1580446458964708e+16
19372.0	3.5346682803310444e+16
19373.0	2.7545144640942044e+16
19374.0	2.9086503596808496e+16
19375.0	2.590611582021637e+16
19376.0	2.758329661095726e+16
19377.0	3.362037141008928e+16
19378.0	4.22291386207362e+16
19379.0	3.087183086397864e+16
19380.0	1.1926657000825216e+16
19381.0	2.6922146787106896e+16
19382.0	2.3497902028682456e+16
19383.0	2.9157140383717816e+16
19384.0	1.722692457857445e+16
19385.0	3.2273456366295936e+16
19386.0	2.981619458013102e+16
19387.0	2.238071176651143e+16
19388.0	1.7242397025791644e+16
19389.0	2.53312193199858e+16
19390.0	1.6317734763792092e+16
19391.0	1.605969926079081e+16
19392.0	2.229327488429197e+16
19393.0	2.6982793468723136e+16
19394.0	2.842346932669016e+16
19395.0	2.2360494161896548e+16
19396.0	2.09996778218821e+16
19397.0	1.1568826655692804e+16
19398.0	9826377312551896.0
19399.0	1.5820376995699372e+16
19400.0	2.3700435286846052e+16
19401.0	1.4040417486587228e+16
19402.0	3.0095669002548896e+16
19403.0	3.095163765936232e+16
19404.0	1.4998901958892746e+16
19405.0	8503373113357630.0
19406.0	1.860891584675099e+16
19407.0	1.3566586518531116e+16
19408.0	2.4930346202070456e+16
19409.0	2.5474210180392028e+16
19410.0	2.503163636433519e+16
19411.0	1.196770066034885e+16
19412.0	1.3075351719636628e+16
19413.0	2.6027951504555296e+16
19414.0	3.1239227619828388e+16
19415.0	2.439519767988559e+16
19416.0	1.3363468816558684e+16
19417.0	2.8152827703700996e+16
19418.0	2.319154933910165e+16
19419.0	2.0519444414078736e+16
19420.0	3.190048830894447e+16
19421.0	3.828104761028186e+16
19422.0	3.1361697747618052e+16
19423.0	3.2684360993926396e+16
19424.0	3.601228817508609e+16
19425.0	3.1350509163284244e+16
19426.0	3.42242795917805e+16
19427.0	3.1987726430891148e+16
19428.0	1.7334926382924314e+16
19429.0	3.5730192587442064e+16
19430.0	3.360665506025184e+16
19431.0	1.6363855072436062e+16
19432.0	1.2163590614672878e+16
19433.0	1.927409567826242e+16
19434.0	2.336749261507568e+16
19435.0	2.127408064117688e+16
19436.0	1.0438872627280478e+16
19437.0	2.1269395773921904e+16
19438.0	2.108366419729014e+16
19439.0	3.954793444841966e+16
19440.0	4.276186103586164e+16
19441.0	3.426552172151789e+16
19442.0	3.765882044081299e+16
19443.0	3.1076157464302468e+16
19444.0	2.315010097117967e+16
19445.0	2.7591005188266452e+16
19446.0	2.8129025048538852e+16
19447.0	2.254026034490883e+16
19448.0	1.1391734848932328e+16
19449.0	1.5212265102735938e+16
19450.0	1.2499068295920552e+16
19451.0	3.1422376345128124e+16
19452.0	3.484402242063219e+16
19453.0	3.1287347853064576e+16
19454.0	1.3102130221588332e+16
19455.0	2.0248484092698096e+16
19456.0	2.893990070472211e+16
19457.0	2.6606373436896244e+16
19458.0	1.953970452835927e+16
19459.0	1.653668146426735e+16
19460.0	9817806098935192.0
19461.0	2.60161339735057e+16
19462.0	3.2854881053549456e+16
19463.0	3.198141636154022e+16
