# Flux units: erg / (cm m2 s)
# Wavelength units: Angstrom
wave	flux
19000.0	2370057330015972.0
19001.0	2396077509992915.0
19002.0	2383724021687047.5
19003.0	2387830243719452.0
19004.0	2351015037905351.5
19005.0	2370060364924740.0
19006.0	2135542312320808.0
19007.0	2370104117589271.0
19008.0	2383692422747314.5
19009.0	2383692422747314.5
19010.0	2382328949753456.0
19011.0	2353869778593250.0
19012.0	2356584253235532.0
19013.0	2376868655183899.5
19014.0	2348428189889665.5
19015.0	2345841258560585.5
19016.0	2329979899472996.5
19017.0	2387846032329006.0
19018.0	2397453628365967.0
19019.0	2389196903535566.5
19020.0	2355187152985083.0
19021.0	2376978386781713.5
19022.0	2393318928685860.5
19023.0	2371402008974799.0
19024.0	2391958649860644.0
19025.0	2389206413114540.5
19026.0	2378213232750978.5
19027.0	2386457297626876.5
19028.0	2381022076423540.0
19029.0	2361847978326398.0
19030.0	2194469438082014.0
19031.0	2382338386556323.5
19032.0	2389253779026905.0
19033.0	2378232113702784.5
19034.0	2397459980239775.5
19035.0	2405751644099903.5
19036.0	2397469497098014.0
19037.0	2364631235740752.0
19038.0	2375599096128186.0
19039.0	2368772285862651.0
19040.0	2360553554737578.5
19041.0	2385156783416503.5
19042.0	2390601543315904.0
19043.0	2400224920733495.0
19044.0	2398858355799885.0
19045.0	2383692422747314.5
19046.0	2353208226488058.0
19047.0	2357339761183734.5
19048.0	2401610577903409.5
19049.0	2390639567174123.5
19050.0	2408535713495461.5
19051.0	2402989883199516.0
19052.0	2372913337416566.0
19053.0	2327338862016551.5
19054.0	2293169015210283.0
19055.0	2390655137655397.5
19056.0	2398867828831334.0
19057.0	2331618854769777.0
19058.0	2411297474395849.0
19059.0	2391987083882921.0
19060.0	2386466741675478.5
19061.0	2277450097398001.5
19062.0	2319446159321498.5
19063.0	2364082889852033.0
19064.0	2393417270053295.0
19065.0	2408522965786349.0
19066.0	2405748457176849.0
19067.0	2349891904841709.0
19068.0	2368987755478627.0
19069.0	2254618113043129.5
19070.0	2239609922340321.5
19071.0	2400237624514788.5
19072.0	2375580866459325.5
19073.0	2399048084369717.5
19074.0	2378342555753649.5
19075.0	2416856089150972.0
19076.0	2412699110294611.5
19077.0	2411342216397426.5
19078.0	2412708671080669.5
19079.0	2359843378999532.5
19080.0	2407197750562731.0
19081.0	2405815309770118.0
19082.0	2421032255749927.0
19083.0	2411303870298746.0
19084.0	2409915018859160.5
19085.0	2404381892243238.5
19086.0	2400234488849275.5
19087.0	2412683131565763.5
19088.0	2421035464763674.5
19089.0	2343890281168915.0
19090.0	2403034522398840.5
19091.0	2411335761721365.5
19092.0	2415515129953546.5
19093.0	2415489663955965.0
19094.0	2404433000896689.5
19095.0	2407150078365440.0
19096.0	2397517147609206.0
19097.0	2386457297626876.5
19098.0	2421067495975824.0
19099.0	2418248142223783.0
19100.0	2418248142223783.0
19101.0	2411351652391808.0
19102.0	2392072605536143.0
19103.0	2379706435488874.5
19104.0	2429419932552467.0
19105.0	2419640202677116.0
19106.0	2223419374793782.2
19107.0	2404391482415806.5
19108.0	2418312086949244.5
19109.0	2428015013817440.5
19110.0	2412962914341171.0
19111.0	2396229322436278.5
19112.0	2394726791852728.5
19113.0	2405834306955152.0
19114.0	2182574567101888.0
19115.0	2396166715381260.0
19116.0	2367289478694242.0
19117.0	2268740442914000.5
19118.0	2313015859068604.5
19119.0	2430811970813139.0
19120.0	2408529361689246.0
19121.0	2405748457176849.0
19122.0	2425230885479157.0
19123.0	2435020323888192.5
19124.0	2433625061801634.0
19125.0	2412724605780429.0
19126.0	2419710572861690.0
19127.0	2381678740944233.5
19128.0	2418325099951692.5
19129.0	2432204009073810.5
19130.0	2444848433652009.0
19131.0	2444848433652009.0
19132.0	2430808754401848.5
19133.0	2304638980431129.5
19134.0	2307435937426828.0
19135.0	2430808754401848.5
19136.0	2369475598896938.5
19137.0	2169729864480190.2
19138.0	2180908087699668.2
19139.0	2447655069557049.0
19140.0	2435020338768694.0
19141.0	2444861373614232.5
19142.0	2440633640374088.5
19143.0	2407413253639639.0
19144.0	2406014775141789.5
19145.0	2428008573580263.0
19146.0	2440633640374088.5
19147.0	2444845209860432.5
19148.0	2350329364467190.5
19149.0	2343317576983662.0
19150.0	2439241587198604.5
19151.0	2429419932552467.0
19152.0	2442035342697824.5
19153.0	2425311333516914.0
19154.0	2439241587198604.5
19155.0	2433654210262158.5
19156.0	2446263120682469.0
19157.0	2453297497224960.0
19158.0	2447726239606305.5
19159.0	2426622960744629.5
19160.0	2401865257927257.5
19161.0	2256707608037911.5
19162.0	2231608610379088.0
19163.0	2440659505383723.5
19164.0	2416926621453843.5
19165.0	2365321932535259.5
19166.0	2416948929914405.0
19167.0	2352018032877194.5
19168.0	2449072972895890.5
19169.0	2421202483831788.0
19170.0	2437897877385626.0
19171.0	2436479959097597.0
19172.0	2437839914635958.0
19173.0	2427088890593754.0
19174.0	2418630118350457.5
19175.0	2419855180666988.5
19176.0	2446259881976080.5
19177.0	2443433791400359.5
19178.0	2449063241844741.5
19179.0	2436428481329607.5
19180.0	2444929454071816.5
19181.0	2382632140041796.0
19182.0	2436447846716869.0
19183.0	2442035342697824.5
19184.0	2450523375477809.0
19185.0	2449092442515759.0
19186.0	2447664815557385.0
19187.0	2466042605908108.0
19188.0	2471724145016133.5
19189.0	2467460539179785.5
19190.0	2460374126459684.5
19191.0	2439393584905913.5
19192.0	2474573101324709.5
19193.0	2461792067249105.0
19194.0	2466049135737909.0
19195.0	2464624672636431.0
19196.0	2459001707139654.0
19197.0	2172267371151360.8
19198.0	2146362540678748.8
19199.0	2446259852112081.5
19200.0	2303407071671083.0
19201.0	2456133341284213.0
19202.0	2457554558213310.5
19203.0	2459001707139654.0
19204.0	2453365779368708.0
19205.0	2457567542920035.5
19206.0	2319254510189133.5
19207.0	2089420226424621.2
19208.0	2234790388871918.5
19209.0	2435139777573138.5
