Temp,Logg,Metal,Alpha,Files
1000.0,2.0,-0.0,0.0,aces2013_t1000_g2.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1000.0,2.5,-0.0,0.0,aces2013_t1000_g2.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1000.0,3.0,-0.0,0.0,aces2013_t1000_g3.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1000.0,3.5,-0.0,0.0,aces2013_t1000_g3.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1000.0,4.0,-0.0,0.0,aces2013_t1000_g4.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1000.0,4.5,-0.0,0.0,aces2013_t1000_g4.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1000.0,5.0,-0.0,0.0,aces2013_t1000_g5.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1000.0,5.5,-0.0,0.0,aces2013_t1000_g5.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1000.0,6.0,-0.0,0.0,aces2013_t1000_g6.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1100.0,2.0,-0.0,0.0,aces2013_t1100_g2.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1100.0,2.5,-0.0,0.0,aces2013_t1100_g2.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1100.0,3.0,-0.0,0.0,aces2013_t1100_g3.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1100.0,3.5,-0.0,0.0,aces2013_t1100_g3.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1100.0,4.0,-0.0,0.0,aces2013_t1100_g4.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1100.0,4.5,-0.0,0.0,aces2013_t1100_g4.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1100.0,5.0,-0.0,0.0,aces2013_t1100_g5.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1100.0,5.5,-0.0,0.0,aces2013_t1100_g5.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1100.0,6.0,-0.0,0.0,aces2013_t1100_g6.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1200.0,2.0,-0.0,0.0,aces2013_t1200_g2.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1200.0,2.5,-0.0,0.0,aces2013_t1200_g2.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1200.0,3.0,-0.0,0.0,aces2013_t1200_g3.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1200.0,3.5,-0.0,0.0,aces2013_t1200_g3.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1200.0,4.0,-0.0,0.0,aces2013_t1200_g4.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1200.0,4.5,-0.0,0.0,aces2013_t1200_g4.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1200.0,5.0,-0.0,0.0,aces2013_t1200_g5.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1200.0,5.5,-0.0,0.0,aces2013_t1200_g5.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1200.0,6.0,-0.0,0.0,aces2013_t1200_g6.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1300.0,2.0,-0.0,0.0,aces2013_t1300_g2.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1300.0,2.5,-0.0,0.0,aces2013_t1300_g2.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1300.0,3.0,-0.0,0.0,aces2013_t1300_g3.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1300.0,3.5,-0.0,0.0,aces2013_t1300_g3.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1300.0,4.0,-0.0,0.0,aces2013_t1300_g4.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1300.0,4.5,-0.0,0.0,aces2013_t1300_g4.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1300.0,5.0,-0.0,0.0,aces2013_t1300_g5.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1300.0,5.5,-0.0,0.0,aces2013_t1300_g5.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1300.0,6.0,-0.0,0.0,aces2013_t1300_g6.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1400.0,2.0,-0.0,0.0,aces2013_t1400_g2.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
1400.0,2.5,-0.0,0.0,aces2013_t1400_g2.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
